id,Geographic Area Name,"Estimate!!Total!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services","Margin of Error!!Total MOE!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
1400000US17031010100,"Census Tract 101, Cook County, Illinois",306,146
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",375,147
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",216,95
1400000US17031010300,"Census Tract 103, Cook County, Illinois",569,215
1400000US17031010400,"Census Tract 104, Cook County, Illinois",514,182
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",461,211
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",413,143
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",238,118
1400000US17031010600,"Census Tract 106, Cook County, Illinois",361,151
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",490,220
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",617,249
1400000US17031020100,"Census Tract 201, Cook County, Illinois",394,205
1400000US17031020200,"Census Tract 202, Cook County, Illinois",354,149
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",106,55
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",157,86
1400000US17031020400,"Census Tract 204, Cook County, Illinois",205,101
1400000US17031020500,"Census Tract 205, Cook County, Illinois",482,277
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",223,172
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",491,214
1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",67,42
1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",383,175
1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",319,174
1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",819,308
1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",487,169
1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",345,169
1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",256,118
1400000US17031030102,"Census Tract 301.02, Cook County, Illinois",201,74
1400000US17031030103,"Census Tract 301.03, Cook County, Illinois",143,58
1400000US17031030104,"Census Tract 301.04, Cook County, Illinois",312,162
1400000US17031030200,"Census Tract 302, Cook County, Illinois",303,128
1400000US17031030300,"Census Tract 303, Cook County, Illinois",262,108
1400000US17031030400,"Census Tract 304, Cook County, Illinois",195,85
1400000US17031030500,"Census Tract 305, Cook County, Illinois",736,211
1400000US17031030601,"Census Tract 306.01, Cook County, Illinois",412,144
1400000US17031030603,"Census Tract 306.03, Cook County, Illinois",171,61
1400000US17031030604,"Census Tract 306.04, Cook County, Illinois",256,110
1400000US17031030701,"Census Tract 307.01, Cook County, Illinois",210,84
1400000US17031030702,"Census Tract 307.02, Cook County, Illinois",84,85
1400000US17031030703,"Census Tract 307.03, Cook County, Illinois",276,114
1400000US17031030706,"Census Tract 307.06, Cook County, Illinois",93,65
1400000US17031030800,"Census Tract 308, Cook County, Illinois",303,121
1400000US17031030900,"Census Tract 309, Cook County, Illinois",230,111
1400000US17031031000,"Census Tract 310, Cook County, Illinois",303,121
1400000US17031031100,"Census Tract 311, Cook County, Illinois",493,166
1400000US17031031200,"Census Tract 312, Cook County, Illinois",776,314
1400000US17031031300,"Census Tract 313, Cook County, Illinois",418,154
1400000US17031031400,"Census Tract 314, Cook County, Illinois",307,155
1400000US17031031501,"Census Tract 315.01, Cook County, Illinois",421,174
1400000US17031031502,"Census Tract 315.02, Cook County, Illinois",559,249
1400000US17031031700,"Census Tract 317, Cook County, Illinois",665,236
1400000US17031031800,"Census Tract 318, Cook County, Illinois",162,59
1400000US17031031900,"Census Tract 319, Cook County, Illinois",95,47
1400000US17031032100,"Census Tract 321, Cook County, Illinois",707,281
1400000US17031040100,"Census Tract 401, Cook County, Illinois",204,69
1400000US17031040201,"Census Tract 402.01, Cook County, Illinois",357,128
1400000US17031040202,"Census Tract 402.02, Cook County, Illinois",605,190
1400000US17031040300,"Census Tract 403, Cook County, Illinois",199,123
1400000US17031040401,"Census Tract 404.01, Cook County, Illinois",256,109
1400000US17031040402,"Census Tract 404.02, Cook County, Illinois",482,182
1400000US17031040600,"Census Tract 406, Cook County, Illinois",205,85
1400000US17031040700,"Census Tract 407, Cook County, Illinois",338,107
1400000US17031040800,"Census Tract 408, Cook County, Illinois",98,40
1400000US17031040900,"Census Tract 409, Cook County, Illinois",90,60
1400000US17031050100,"Census Tract 501, Cook County, Illinois",184,76
1400000US17031050200,"Census Tract 502, Cook County, Illinois",404,189
1400000US17031050300,"Census Tract 503, Cook County, Illinois",135,83
1400000US17031050500,"Census Tract 505, Cook County, Illinois",479,182
1400000US17031050600,"Census Tract 506, Cook County, Illinois",219,150
1400000US17031050700,"Census Tract 507, Cook County, Illinois",111,55
1400000US17031050800,"Census Tract 508, Cook County, Illinois",46,29
1400000US17031050900,"Census Tract 509, Cook County, Illinois",82,36
1400000US17031051000,"Census Tract 510, Cook County, Illinois",119,66
1400000US17031051100,"Census Tract 511, Cook County, Illinois",87,37
1400000US17031051200,"Census Tract 512, Cook County, Illinois",41,25
1400000US17031051300,"Census Tract 513, Cook County, Illinois",101,57
1400000US17031051400,"Census Tract 514, Cook County, Illinois",34,21
1400000US17031060100,"Census Tract 601, Cook County, Illinois",149,66
1400000US17031060200,"Census Tract 602, Cook County, Illinois",187,101
1400000US17031060300,"Census Tract 603, Cook County, Illinois",200,97
1400000US17031060400,"Census Tract 604, Cook County, Illinois",191,81
1400000US17031060500,"Census Tract 605, Cook County, Illinois",80,48
1400000US17031060800,"Census Tract 608, Cook County, Illinois",286,139
1400000US17031060900,"Census Tract 609, Cook County, Illinois",483,225
1400000US17031061000,"Census Tract 610, Cook County, Illinois",157,49
1400000US17031061100,"Census Tract 611, Cook County, Illinois",70,51
1400000US17031061200,"Census Tract 612, Cook County, Illinois",102,41
1400000US17031061500,"Census Tract 615, Cook County, Illinois",112,51
1400000US17031061800,"Census Tract 618, Cook County, Illinois",135,44
1400000US17031061901,"Census Tract 619.01, Cook County, Illinois",292,146
1400000US17031061902,"Census Tract 619.02, Cook County, Illinois",387,133
1400000US17031062000,"Census Tract 620, Cook County, Illinois",294,128
1400000US17031062100,"Census Tract 621, Cook County, Illinois",313,104
1400000US17031062200,"Census Tract 622, Cook County, Illinois",152,89
1400000US17031062300,"Census Tract 623, Cook County, Illinois",59,31
1400000US17031062400,"Census Tract 624, Cook County, Illinois",26,16
1400000US17031062500,"Census Tract 625, Cook County, Illinois",100,42
1400000US17031062600,"Census Tract 626, Cook County, Illinois",108,57
1400000US17031062700,"Census Tract 627, Cook County, Illinois",101,59
1400000US17031062800,"Census Tract 628, Cook County, Illinois",198,76
1400000US17031062900,"Census Tract 629, Cook County, Illinois",279,109
1400000US17031063000,"Census Tract 630, Cook County, Illinois",183,74
1400000US17031063100,"Census Tract 631, Cook County, Illinois",110,51
