GEO_ID,NAME,S1501_C02_015E,DP03_0009PE,S1701_C03_001E
id,Geographic Area Name,talent index,Unemployment,poverty
1400000US17031010100,"Census Tract 101, Cook County, Illinois",46.9,7,35.8
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",30.8,7.3,36.8
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",33.3,6.5,18.5
1400000US17031010300,"Census Tract 103, Cook County, Illinois",39.4,4.9,16.1
1400000US17031010400,"Census Tract 104, Cook County, Illinois",65.5,7.7,19.1
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",54.5,8.7,20.7
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",55.5,3.7,30
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",37.5,7.7,48
1400000US17031010600,"Census Tract 106, Cook County, Illinois",53.4,7.5,24.4
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",45.8,4.9,20.8
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",45.3,5.2,24.2
1400000US17031020100,"Census Tract 201, Cook County, Illinois",42.4,5.9,14.2
1400000US17031020200,"Census Tract 202, Cook County, Illinois",47,8.4,13.5
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",56.9,6,13.6
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",51.9,7.3,22.8
1400000US17031020400,"Census Tract 204, Cook County, Illinois",48.7,3.7,17.9
1400000US17031020500,"Census Tract 205, Cook County, Illinois",34.1,13.6,26.3
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",41.7,10.9,24.3
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",44.3,7.7,22
1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",48.5,7.2,6.6
1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",30.3,9.3,22.1
1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",29.1,7.3,16.5
1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",30.7,8.2,26.2
1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",37.8,3.9,28.9
1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",25.2,5.4,26.7
1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",49.3,8.9,14.7
1400000US17031030102,"Census Tract 301.02, Cook County, Illinois",57.6,5.5,16.2
1400000US17031030103,"Census Tract 301.03, Cook County, Illinois",68.8,10.7,16.6
1400000US17031030104,"Census Tract 301.04, Cook County, Illinois",54.3,11.5,27.9
1400000US17031030200,"Census Tract 302, Cook County, Illinois",60.7,5.8,14.3
1400000US17031030300,"Census Tract 303, Cook County, Illinois",35.9,5.7,24
