"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"1400000US17031381700","Census Tract 3817, Cook County, Illinois","-","**"
"1400000US17031980000","Census Tract 9800, Cook County, Illinois","-","**"
"1400000US17031980100","Census Tract 9801, Cook County, Illinois","-","**"
"1400000US17031990000","Census Tract 9900, Cook County, Illinois","-","**"
"1400000US17031823705","Census Tract 8237.05, Cook County, Illinois","0.4582","0.0647"
"1400000US17031110200","Census Tract 1102, Cook County, Illinois","0.4221","0.0528"
"1400000US17031071700","Census Tract 717, Cook County, Illinois","0.4533","0.0426"
"1400000US17031826901","Census Tract 8269.01, Cook County, Illinois","0.4923","0.0726"
"1400000US17031817500","Census Tract 8175, Cook County, Illinois","0.5005","0.0485"
"1400000US17031817900","Census Tract 8179, Cook County, Illinois","0.4355","0.0683"
"1400000US17031826303","Census Tract 8263.03, Cook County, Illinois","0.4611","0.0885"
"1400000US17031812900","Census Tract 8129, Cook County, Illinois","0.4157","0.0369"
"1400000US17031160300","Census Tract 1603, Cook County, Illinois","0.4417","0.0690"
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","0.5181","0.0545"
"1400000US17031050700","Census Tract 507, Cook County, Illinois","0.4574","0.0508"
"1400000US17031824113","Census Tract 8241.13, Cook County, Illinois","0.4139","0.0618"
"1400000US17031671400","Census Tract 6714, Cook County, Illinois","0.4723","0.0501"
"1400000US17031070700","Census Tract 707, Cook County, Illinois","0.5258","0.0471"
"1400000US17031805112","Census Tract 8051.12, Cook County, Illinois","0.4013","0.0380"
"1400000US17031804607","Census Tract 8046.07, Cook County, Illinois","0.3592","0.0373"
"1400000US17031828601","Census Tract 8286.01, Cook County, Illinois","0.3696","0.0326"
"1400000US17031812302","Census Tract 8123.02, Cook County, Illinois","0.4202","0.0601"
"1400000US17031813100","Census Tract 8131, Cook County, Illinois","0.3837","0.0387"
"1400000US17031060800","Census Tract 608, Cook County, Illinois","0.3827","0.0454"
"1400000US17031812400","Census Tract 8124, Cook County, Illinois","0.4474","0.0441"
"1400000US17031280100","Census Tract 2801, Cook County, Illinois","0.4319","0.0585"
"1400000US17031200300","Census Tract 2003, Cook County, Illinois","0.4580","0.0457"
"1400000US17031812802","Census Tract 8128.02, Cook County, Illinois","0.5112","0.0439"
"1400000US17031813302","Census Tract 8133.02, Cook County, Illinois","0.3948","0.0393"
"1400000US17031808100","Census Tract 8081, Cook County, Illinois","0.4705","0.0398"
"1400000US17031411100","Census Tract 4111, Cook County, Illinois","0.4985","0.0342"
"1400000US17031381400","Census Tract 3814, Cook County, Illinois","0.4568","0.0683"
"1400000US17031809000","Census Tract 8090, Cook County, Illinois","0.5034","0.0430"
"1400000US17031190702","Census Tract 1907.02, Cook County, Illinois","0.4377","0.0640"
"1400000US17031090200","Census Tract 902, Cook County, Illinois","0.4516","0.0408"
"1400000US17031460400","Census Tract 4604, Cook County, Illinois","0.3954","0.0406"
"1400000US17031804902","Census Tract 8049.02, Cook County, Illinois","0.3894","0.0385"
"1400000US17031350100","Census Tract 3501, Cook County, Illinois","0.4952","0.0781"
"1400000US17031230900","Census Tract 2309, Cook County, Illinois","0.5019","0.0574"
"1400000US17031580502","Census Tract 5805.02, Cook County, Illinois","0.5354","0.0646"
"1400000US17031823703","Census Tract 8237.03, Cook County, Illinois","0.4026","0.0438"
"1400000US17031822801","Census Tract 8228.01, Cook County, Illinois","0.4299","0.0504"
"1400000US17031180100","Census Tract 1801, Cook County, Illinois","0.5167","0.0699"
"1400000US17031020400","Census Tract 204, Cook County, Illinois","0.4294","0.0362"
"1400000US17031271400","Census Tract 2714, Cook County, Illinois","0.5123","0.0725"
"1400000US17031660400","Census Tract 6604, Cook County, Illinois","0.4620","0.0640"
"1400000US17031221200","Census Tract 2212, Cook County, Illinois","0.5085","0.0526"
"1400000US17031160900","Census Tract 1609, Cook County, Illinois","0.4088","0.0375"
"1400000US17031806103","Census Tract 8061.03, Cook County, Illinois","0.4021","0.0492"
"1400000US17031320100","Census Tract 3201, Cook County, Illinois","0.4912","0.0463"
"1400000US17031805202","Census Tract 8052.02, Cook County, Illinois","0.4815","0.0539"
"1400000US17031283800","Census Tract 2838, Cook County, Illinois","0.4728","0.0358"
"1400000US17031831800","Census Tract 8318, Cook County, Illinois","0.4445","0.0474"
"1400000US17031825501","Census Tract 8255.01, Cook County, Illinois","0.4094","0.0387"
"1400000US17031822701","Census Tract 8227.01, Cook County, Illinois","0.4157","0.0539"
"1400000US17031812100","Census Tract 8121, Cook County, Illinois","0.3635","0.0352"
"1400000US17031222700","Census Tract 2227, Cook County, Illinois","0.4449","0.0541"
"1400000US17031160700","Census Tract 1607, Cook County, Illinois","0.4350","0.0392"
"1400000US17031240700","Census Tract 2407, Cook County, Illinois","0.4706","0.0409"
"1400000US17031160501","Census Tract 1605.01, Cook County, Illinois","0.4023","0.0414"
"1400000US17031710500","Census Tract 7105, Cook County, Illinois","0.4728","0.0533"
"1400000US17031730500","Census Tract 7305, Cook County, Illinois","0.4709","0.0860"
"1400000US17031804803","Census Tract 8048.03, Cook County, Illinois","0.3535","0.0359"
"1400000US17031730201","Census Tract 7302.01, Cook County, Illinois","0.5142","0.0486"
"1400000US17031837000","Census Tract 8370, Cook County, Illinois","0.5289","0.0557"
"1400000US17031826202","Census Tract 8262.02, Cook County, Illinois","0.4151","0.0469"
"1400000US17031430500","Census Tract 4305, Cook County, Illinois","0.5493","0.0610"
"1400000US17031810301","Census Tract 8103.01, Cook County, Illinois","0.4531","0.0403"
"1400000US17031804109","Census Tract 8041.09, Cook County, Illinois","0.4456","0.0340"
"1400000US17031842300","Census Tract 8423, Cook County, Illinois","0.4043","0.0599"
"1400000US17031800900","Census Tract 8009, Cook County, Illinois","0.4101","0.0520"
"1400000US17031150200","Census Tract 1502, Cook County, Illinois","0.4724","0.0656"
"1400000US17031804201","Census Tract 8042.01, Cook County, Illinois","0.4566","0.0429"
"1400000US17031630400","Census Tract 6304, Cook County, Illinois","0.4167","0.0306"
"1400000US17031826600","Census Tract 8266, Cook County, Illinois","0.4727","0.0456"
"1400000US17031820603","Census Tract 8206.03, Cook County, Illinois","0.4346","0.0553"
"1400000US17031806003","Census Tract 8060.03, Cook County, Illinois","0.3941","0.0444"
"1400000US17031818000","Census Tract 8180, Cook County, Illinois","0.5459","0.1319"
