id,Geographic Area Name,Estimate!!Households!!Median income (dollars),Margin of Error!!Households MOE!!Median income (dollars)
1400000US17031010100,"Census Tract 101, Cook County, Illinois",37985,10569
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",39549,14169
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",38370,8966
1400000US17031010300,"Census Tract 103, Cook County, Illinois",38866,4386
1400000US17031010400,"Census Tract 104, Cook County, Illinois",39152,6316
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",34455,6452
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",37500,6486
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",20357,4784
1400000US17031010600,"Census Tract 106, Cook County, Illinois",47549,9256
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",55529,10522
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",41161,2666
1400000US17031020100,"Census Tract 201, Cook County, Illinois",51346,11242
1400000US17031020200,"Census Tract 202, Cook County, Illinois",66831,17456
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",54496,7103
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",72572,17009
1400000US17031020400,"Census Tract 204, Cook County, Illinois",63977,12623
1400000US17031020500,"Census Tract 205, Cook County, Illinois",41432,4121
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",41308,6062
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",53234,5861
1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",91477,25794
1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",47063,12247
1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",51467,9130
1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",48067,5357
1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",49901,6753
1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",37405,3848
1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",48927,5400
1400000US17031030102,"Census Tract 301.02, Cook County, Illinois",45086,5375
1400000US17031030103,"Census Tract 301.03, Cook County, Illinois",49103,7616
1400000US17031030104,"Census Tract 301.04, Cook County, Illinois",37586,7324
1400000US17031030200,"Census Tract 302, Cook County, Illinois",65810,11875
1400000US17031030300,"Census Tract 303, Cook County, Illinois",38427,3774
1400000US17031030400,"Census Tract 304, Cook County, Illinois",50781,8524
1400000US17031030500,"Census Tract 305, Cook County, Illinois",79414,13265
1400000US17031030601,"Census Tract 306.01, Cook County, Illinois",41675,3554
1400000US17031030603,"Census Tract 306.03, Cook County, Illinois",34415,6490
1400000US17031030604,"Census Tract 306.04, Cook County, Illinois",35096,12187
1400000US17031030701,"Census Tract 307.01, Cook County, Illinois",41042,6924
1400000US17031030702,"Census Tract 307.02, Cook County, Illinois",59414,11941
1400000US17031030703,"Census Tract 307.03, Cook County, Illinois",40195,12803
1400000US17031030706,"Census Tract 307.06, Cook County, Illinois",39308,17346
1400000US17031030800,"Census Tract 308, Cook County, Illinois",90288,15141
1400000US17031030900,"Census Tract 309, Cook County, Illinois",95958,15227
1400000US17031031000,"Census Tract 310, Cook County, Illinois",81291,7254
1400000US17031031100,"Census Tract 311, Cook County, Illinois",68304,22381
1400000US17031031200,"Census Tract 312, Cook County, Illinois",40380,8289
1400000US17031031300,"Census Tract 313, Cook County, Illinois",41445,7938
1400000US17031031400,"Census Tract 314, Cook County, Illinois",69590,10603
1400000US17031031501,"Census Tract 315.01, Cook County, Illinois",25257,5083
1400000US17031031502,"Census Tract 315.02, Cook County, Illinois",25317,5362
1400000US17031031700,"Census Tract 317, Cook County, Illinois",56175,16295
1400000US17031031800,"Census Tract 318, Cook County, Illinois",78558,11136
1400000US17031031900,"Census Tract 319, Cook County, Illinois",67760,11152
1400000US17031032100,"Census Tract 321, Cook County, Illinois",53013,12336
1400000US17031040100,"Census Tract 401, Cook County, Illinois",85368,10232
1400000US17031040201,"Census Tract 402.01, Cook County, Illinois",71322,7835
1400000US17031040202,"Census Tract 402.02, Cook County, Illinois",40011,6129
1400000US17031040300,"Census Tract 403, Cook County, Illinois",90250,26236
1400000US17031040401,"Census Tract 404.01, Cook County, Illinois",89063,9018
1400000US17031040402,"Census Tract 404.02, Cook County, Illinois",82798,18683
1400000US17031040600,"Census Tract 406, Cook County, Illinois",82383,10037
1400000US17031040700,"Census Tract 407, Cook County, Illinois",76915,11351
1400000US17031040800,"Census Tract 408, Cook County, Illinois",76809,9087
1400000US17031040900,"Census Tract 409, Cook County, Illinois",76964,16201
1400000US17031050100,"Census Tract 501, Cook County, Illinois",114012,4961
1400000US17031050200,"Census Tract 502, Cook County, Illinois",85671,11876
1400000US17031050300,"Census Tract 503, Cook County, Illinois",84844,15832
1400000US17031050500,"Census Tract 505, Cook County, Illinois",133845,18573
1400000US17031050600,"Census Tract 506, Cook County, Illinois",105513,16617
1400000US17031050700,"Census Tract 507, Cook County, Illinois",124500,11781
1400000US17031050800,"Census Tract 508, Cook County, Illinois",116000,19212
1400000US17031050900,"Census Tract 509, Cook County, Illinois",91719,7023
1400000US17031051000,"Census Tract 510, Cook County, Illinois",109130,24666
1400000US17031051100,"Census Tract 511, Cook County, Illinois",136131,25631
1400000US17031051200,"Census Tract 512, Cook County, Illinois",129167,20808
1400000US17031051300,"Census Tract 513, Cook County, Illinois",178750,31808
1400000US17031051400,"Census Tract 514, Cook County, Illinois",116364,17332
1400000US17031060100,"Census Tract 601, Cook County, Illinois",92593,9374
1400000US17031060200,"Census Tract 602, Cook County, Illinois",72679,19956
1400000US17031060300,"Census Tract 603, Cook County, Illinois",117415,32925
1400000US17031060400,"Census Tract 604, Cook County, Illinois",122708,15454
1400000US17031060500,"Census Tract 605, Cook County, Illinois",34130,17358
1400000US17031060800,"Census Tract 608, Cook County, Illinois",87723,8119
1400000US17031060900,"Census Tract 609, Cook County, Illinois",59942,5254
1400000US17031061000,"Census Tract 610, Cook County, Illinois",116389,9883
1400000US17031061100,"Census Tract 611, Cook County, Illinois",107500,10800
1400000US17031061200,"Census Tract 612, Cook County, Illinois",112292,16695
1400000US17031061500,"Census Tract 615, Cook County, Illinois",125000,15213
1400000US17031061800,"Census Tract 618, Cook County, Illinois",73523,11786
1400000US17031061901,"Census Tract 619.01, Cook County, Illinois",60909,17072
1400000US17031061902,"Census Tract 619.02, Cook County, Illinois",64508,11405
1400000US17031062000,"Census Tract 620, Cook County, Illinois",80595,12217
1400000US17031062100,"Census Tract 621, Cook County, Illinois",94500,28789
1400000US17031062200,"Census Tract 622, Cook County, Illinois",119392,19642
1400000US17031062300,"Census Tract 623, Cook County, Illinois",154000,29126
1400000US17031062400,"Census Tract 624, Cook County, Illinois",127059,21798
1400000US17031062500,"Census Tract 625, Cook County, Illinois",131818,23062
1400000US17031062600,"Census Tract 626, Cook County, Illinois",158125,26517
1400000US17031062700,"Census Tract 627, Cook County, Illinois",168352,17019
1400000US17031062800,"Census Tract 628, Cook County, Illinois",143667,22090
1400000US17031062900,"Census Tract 629, Cook County, Illinois",128750,32126
1400000US17031063000,"Census Tract 630, Cook County, Illinois",99213,6299
1400000US17031063100,"Census Tract 631, Cook County, Illinois",95365,15167
1400000US17031063200,"Census Tract 632, Cook County, Illinois",65426,17025
1400000US17031063301,"Census Tract 633.01, Cook County, Illinois",58371,5558
1400000US17031063302,"Census Tract 633.02, Cook County, Illinois",78720,5612
1400000US17031063303,"Census Tract 633.03, Cook County, Illinois",81705,15066
1400000US17031063400,"Census Tract 634, Cook County, Illinois",97305,6336
1400000US17031070101,"Census Tract 701.01, Cook County, Illinois",64968,11049
1400000US17031070102,"Census Tract 701.02, Cook County, Illinois",70057,15637
1400000US17031070103,"Census Tract 701.03, Cook County, Illinois",58914,3657
1400000US17031070200,"Census Tract 702, Cook County, Illinois",92441,21420
1400000US17031070300,"Census Tract 703, Cook County, Illinois",143221,10897
1400000US17031070400,"Census Tract 704, Cook County, Illinois",113409,18974
1400000US17031070500,"Census Tract 705, Cook County, Illinois",155729,52216
1400000US17031070600,"Census Tract 706, Cook County, Illinois",157125,34525
1400000US17031070700,"Census Tract 707, Cook County, Illinois",120192,23052
1400000US17031071000,"Census Tract 710, Cook County, Illinois",138934,19589
1400000US17031071100,"Census Tract 711, Cook County, Illinois",119432,29584
1400000US17031071200,"Census Tract 712, Cook County, Illinois",109191,21495
1400000US17031071300,"Census Tract 713, Cook County, Illinois",112788,15372
1400000US17031071400,"Census Tract 714, Cook County, Illinois",93529,16576
1400000US17031071500,"Census Tract 715, Cook County, Illinois",94598,15810
1400000US17031071600,"Census Tract 716, Cook County, Illinois",142583,24253
1400000US17031071700,"Census Tract 717, Cook County, Illinois",162054,40954
1400000US17031071800,"Census Tract 718, Cook County, Illinois",141806,49144
1400000US17031080100,"Census Tract 801, Cook County, Illinois",111372,25391
1400000US17031080201,"Census Tract 802.01, Cook County, Illinois",87221,8324
1400000US17031080202,"Census Tract 802.02, Cook County, Illinois",83806,6332
1400000US17031080300,"Census Tract 803, Cook County, Illinois",122479,16968
1400000US17031080400,"Census Tract 804, Cook County, Illinois",36927,10963
1400000US17031081000,"Census Tract 810, Cook County, Illinois",60566,8476
1400000US17031081100,"Census Tract 811, Cook County, Illinois",77267,8541
