id,Geographic Area Name,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Margin of Error!!VALUE!!Owner-occupied units!!Median (dollars)
1400000US17031010100,"Census Tract 101, Cook County, Illinois",257400,53725
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",156500,23015
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",159800,33227
1400000US17031010300,"Census Tract 103, Cook County, Illinois",173800,20204
1400000US17031010400,"Census Tract 104, Cook County, Illinois",218500,38745
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",316500,91685
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",222900,25505
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",345600,131628
1400000US17031010600,"Census Tract 106, Cook County, Illinois",223900,26232
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",206900,31294
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",163100,12420
1400000US17031020100,"Census Tract 201, Cook County, Illinois",165000,12980
1400000US17031020200,"Census Tract 202, Cook County, Illinois",354300,20668
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",184800,18922
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",321100,19597
1400000US17031020400,"Census Tract 204, Cook County, Illinois",254200,24553
1400000US17031020500,"Census Tract 205, Cook County, Illinois",149700,34198
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",314400,24653
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",336400,21838
1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",391300,28571
1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",245100,38233
1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",370700,55591
1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",274000,27475
1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",181100,56574
1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",93600,17611
1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",233500,34412
1400000US17031030102,"Census Tract 301.02, Cook County, Illinois",184400,38863
1400000US17031030103,"Census Tract 301.03, Cook County, Illinois",168100,58986
1400000US17031030104,"Census Tract 301.04, Cook County, Illinois",157300,35092
1400000US17031030200,"Census Tract 302, Cook County, Illinois",347700,87209
1400000US17031030300,"Census Tract 303, Cook County, Illinois",290400,32030
1400000US17031030400,"Census Tract 304, Cook County, Illinois",331500,59316
1400000US17031030500,"Census Tract 305, Cook County, Illinois",304100,53543
1400000US17031030601,"Census Tract 306.01, Cook County, Illinois",172100,46391
1400000US17031030603,"Census Tract 306.03, Cook County, Illinois",277500,83335
1400000US17031030604,"Census Tract 306.04, Cook County, Illinois",170900,32786
1400000US17031030701,"Census Tract 307.01, Cook County, Illinois",174600,27219
1400000US17031030702,"Census Tract 307.02, Cook County, Illinois",192000,29146
1400000US17031030703,"Census Tract 307.03, Cook County, Illinois",234200,41668
1400000US17031030706,"Census Tract 307.06, Cook County, Illinois",245700,64609
1400000US17031030800,"Census Tract 308, Cook County, Illinois",492200,80678
1400000US17031030900,"Census Tract 309, Cook County, Illinois",387800,46575
1400000US17031031000,"Census Tract 310, Cook County, Illinois",437900,66708
1400000US17031031100,"Census Tract 311, Cook County, Illinois",354700,86805
1400000US17031031200,"Census Tract 312, Cook County, Illinois",289700,39253
1400000US17031031300,"Census Tract 313, Cook County, Illinois",164100,30248
1400000US17031031400,"Census Tract 314, Cook County, Illinois",208600,21393
1400000US17031031501,"Census Tract 315.01, Cook County, Illinois",228700,18808
1400000US17031031502,"Census Tract 315.02, Cook County, Illinois",244100,55979
1400000US17031031700,"Census Tract 317, Cook County, Illinois",297800,22237
1400000US17031031800,"Census Tract 318, Cook County, Illinois",348200,46221
1400000US17031031900,"Census Tract 319, Cook County, Illinois",331600,30845
1400000US17031032100,"Census Tract 321, Cook County, Illinois",320400,32340
1400000US17031040100,"Census Tract 401, Cook County, Illinois",383200,32137
1400000US17031040201,"Census Tract 402.01, Cook County, Illinois",369500,31626
1400000US17031040202,"Census Tract 402.02, Cook County, Illinois",171300,33346
1400000US17031040300,"Census Tract 403, Cook County, Illinois",360100,34910
1400000US17031040401,"Census Tract 404.01, Cook County, Illinois",494600,87921
1400000US17031040402,"Census Tract 404.02, Cook County, Illinois",397100,57895
1400000US17031040600,"Census Tract 406, Cook County, Illinois",614800,61396
1400000US17031040700,"Census Tract 407, Cook County, Illinois",380800,50756
1400000US17031040800,"Census Tract 408, Cook County, Illinois",393600,61462
1400000US17031040900,"Census Tract 409, Cook County, Illinois",564700,125963
1400000US17031050100,"Census Tract 501, Cook County, Illinois",478200,91804
1400000US17031050200,"Census Tract 502, Cook County, Illinois",579400,95073
1400000US17031050300,"Census Tract 503, Cook County, Illinois",557200,80643
1400000US17031050500,"Census Tract 505, Cook County, Illinois",695400,58666
1400000US17031050600,"Census Tract 506, Cook County, Illinois",484400,83527
1400000US17031050700,"Census Tract 507, Cook County, Illinois",457400,108453
1400000US17031050800,"Census Tract 508, Cook County, Illinois",709200,74564
1400000US17031050900,"Census Tract 509, Cook County, Illinois",537300,103087
1400000US17031051000,"Census Tract 510, Cook County, Illinois",515200,80283
1400000US17031051100,"Census Tract 511, Cook County, Illinois",725500,112065
1400000US17031051200,"Census Tract 512, Cook County, Illinois",822000,113905
1400000US17031051300,"Census Tract 513, Cook County, Illinois",522900,88112
1400000US17031051400,"Census Tract 514, Cook County, Illinois",460800,27883
1400000US17031060100,"Census Tract 601, Cook County, Illinois",399100,120293
1400000US17031060200,"Census Tract 602, Cook County, Illinois",621800,114185
1400000US17031060300,"Census Tract 603, Cook County, Illinois",564400,98471
1400000US17031060400,"Census Tract 604, Cook County, Illinois",629900,54756
1400000US17031060500,"Census Tract 605, Cook County, Illinois",758100,148235
1400000US17031060800,"Census Tract 608, Cook County, Illinois",209100,17543
1400000US17031060900,"Census Tract 609, Cook County, Illinois",242700,33813
1400000US17031061000,"Census Tract 610, Cook County, Illinois",484300,60206
1400000US17031061100,"Census Tract 611, Cook County, Illinois",553400,49426
1400000US17031061200,"Census Tract 612, Cook County, Illinois",532400,305023
1400000US17031061500,"Census Tract 615, Cook County, Illinois",527600,92351
1400000US17031061800,"Census Tract 618, Cook County, Illinois",375500,37155
1400000US17031061901,"Census Tract 619.01, Cook County, Illinois",258900,136345
1400000US17031061902,"Census Tract 619.02, Cook County, Illinois",330100,54765
1400000US17031062000,"Census Tract 620, Cook County, Illinois",343000,30972
1400000US17031062100,"Census Tract 621, Cook County, Illinois",436300,32386
1400000US17031062200,"Census Tract 622, Cook County, Illinois",558300,37543
1400000US17031062300,"Census Tract 623, Cook County, Illinois",726600,74760
1400000US17031062400,"Census Tract 624, Cook County, Illinois",582900,44341
1400000US17031062500,"Census Tract 625, Cook County, Illinois",496700,82553
1400000US17031062600,"Census Tract 626, Cook County, Illinois",654800,55452
1400000US17031062700,"Census Tract 627, Cook County, Illinois",610100,71358
1400000US17031062800,"Census Tract 628, Cook County, Illinois",668300,53578
1400000US17031062900,"Census Tract 629, Cook County, Illinois",593100,35869
1400000US17031063000,"Census Tract 630, Cook County, Illinois",476900,104193
1400000US17031063100,"Census Tract 631, Cook County, Illinois",437700,64176
1400000US17031063200,"Census Tract 632, Cook County, Illinois",324600,58049
1400000US17031063301,"Census Tract 633.01, Cook County, Illinois",364900,79524
1400000US17031063302,"Census Tract 633.02, Cook County, Illinois",336200,32868
1400000US17031063303,"Census Tract 633.03, Cook County, Illinois",326500,24492
1400000US17031063400,"Census Tract 634, Cook County, Illinois",466400,56357
1400000US17031070101,"Census Tract 701.01, Cook County, Illinois",371800,28938
1400000US17031070102,"Census Tract 701.02, Cook County, Illinois",378900,74217
1400000US17031070103,"Census Tract 701.03, Cook County, Illinois",338600,157082
1400000US17031070200,"Census Tract 702, Cook County, Illinois",505400,89787
1400000US17031070300,"Census Tract 703, Cook County, Illinois",577100,44096
1400000US17031070400,"Census Tract 704, Cook County, Illinois",632200,77598
1400000US17031070500,"Census Tract 705, Cook County, Illinois",723400,55647
1400000US17031070600,"Census Tract 706, Cook County, Illinois",725400,54062
1400000US17031070700,"Census Tract 707, Cook County, Illinois",493800,53363
1400000US17031071000,"Census Tract 710, Cook County, Illinois",626200,121521
1400000US17031071100,"Census Tract 711, Cook County, Illinois",780200,447028
1400000US17031071200,"Census Tract 712, Cook County, Illinois",487200,114157
1400000US17031071300,"Census Tract 713, Cook County, Illinois",755200,203929
1400000US17031071400,"Census Tract 714, Cook County, Illinois",439000,42147
1400000US17031071500,"Census Tract 715, Cook County, Illinois",384200,55218
1400000US17031071600,"Census Tract 716, Cook County, Illinois",868400,112650
1400000US17031071700,"Census Tract 717, Cook County, Illinois",730000,76616
1400000US17031071800,"Census Tract 718, Cook County, Illinois",737800,107515
1400000US17031080100,"Census Tract 801, Cook County, Illinois",545800,126128
1400000US17031080201,"Census Tract 802.01, Cook County, Illinois",244800,16857
1400000US17031080202,"Census Tract 802.02, Cook County, Illinois",286800,68832
1400000US17031080300,"Census Tract 803, Cook County, Illinois",460400,32273
1400000US17031080400,"Census Tract 804, Cook County, Illinois",631000,44669
1400000US17031081000,"Census Tract 810, Cook County, Illinois",393500,68407
1400000US17031081100,"Census Tract 811, Cook County, Illinois",358600,41731
1400000US17031081201,"Census Tract 812.01, Cook County, Illinois",788200,186727
1400000US17031081202,"Census Tract 812.02, Cook County, Illinois",630900,80199
1400000US17031081300,"Census Tract 813, Cook County, Illinois",447000,74561
1400000US17031081401,"Census Tract 814.01, Cook County, Illinois",703700,157512
1400000US17031081402,"Census Tract 814.02, Cook County, Illinois",492900,70716
1400000US17031081403,"Census Tract 814.03, Cook County, Illinois",559600,98522
1400000US17031081500,"Census Tract 815, Cook County, Illinois",555900,130229
1400000US17031081600,"Census Tract 816, Cook County, Illinois",357900,84640
1400000US17031081700,"Census Tract 817, Cook County, Illinois",360300,23528
1400000US17031081800,"Census Tract 818, Cook County, Illinois",458000,27665
1400000US17031081900,"Census Tract 819, Cook County, Illinois",613900,129255
1400000US17031090100,"Census Tract 901, Cook County, Illinois",348000,14022
