"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"1400000US11001009902","Census Tract 99.02, District of Columbia, District of Columbia","3085","422","48","50","2979","427","0","12","16","19","0","12","0","12","42","46","25","41","17","20"
"1400000US11001009904","Census Tract 99.04, District of Columbia, District of Columbia","2970","412","50","46","2572","386","0","12","0","12","12","19","291","423","45","39","6","9","39","37"
"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia","5160","480","4554","475","34","41","0","17","320","177","0","17","128","121","124","118","0","17","124","118"
"1400000US11001000801","Census Tract 8.01, District of Columbia, District of Columbia","6426","511","4961","452","534","362","30","46","386","164","0","17","165","110","350","198","13","20","337","194"
"1400000US11001000802","Census Tract 8.02, District of Columbia, District of Columbia","3567","318","2658","339","321","155","0","12","292","140","0","12","80","78","216","105","61","51","155","84"
"1400000US11001001001","Census Tract 10.01, District of Columbia, District of Columbia","7742","471","6491","449","304","121","0","17","422","139","0","17","93","107","432","191","17","26","415","190"
"1400000US11001006202","Census Tract 62.02, District of Columbia, District of Columbia","60","89","60","89","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US11001007804","Census Tract 78.04, District of Columbia, District of Columbia","3833","649","40","52","3667","600","0","12","15","21","0","12","0","12","111","92","0","12","111","92"
"1400000US11001008001","Census Tract 80.01, District of Columbia, District of Columbia","3308","308","2192","281","813","272","0","12","108","74","0","12","44","37","151","92","9","15","142","90"
"1400000US11001008301","Census Tract 83.01, District of Columbia, District of Columbia","2366","295","2013","300","233","108","0","12","56","42","0","12","22","24","42","33","10","16","32","29"
"1400000US11001008803","Census Tract 88.03, District of Columbia, District of Columbia","2778","446","793","278","1692","338","0","12","53","45","10","17","126","99","104","44","46","29","58","39"
"1400000US11001009301","Census Tract 93.01, District of Columbia, District of Columbia","3450","325","1372","264","1737","279","0","12","156","129","0","12","73","65","112","68","0","12","112","68"
"1400000US11001009504","Census Tract 95.04, District of Columbia, District of Columbia","3464","451","997","246","1909","414","288","416","141","123","0","12","82","75","47","44","0","12","47","44"
"1400000US11001000501","Census Tract 5.01, District of Columbia, District of Columbia","3545","295","2943","350","162","90","0","12","82","55","0","12","271","234","87","78","20","35","67","70"
"1400000US11001001301","Census Tract 13.01, District of Columbia, District of Columbia","4133","441","3060","347","578","251","0","12","461","333","0","12","0","12","34","40","0","12","34","40"
"1400000US11001002102","Census Tract 21.02, District of Columbia, District of Columbia","5223","518","824","197","3449","483","98","83","40","36","0","17","648","222","164","109","0","17","164","109"
"1400000US11001002202","Census Tract 22.02, District of Columbia, District of Columbia","3476","408","532","114","2023","335","8","16","27","30","0","12","792","274","94","66","0","12","94","66"
"1400000US11001002302","Census Tract 23.02, District of Columbia, District of Columbia","1670","228","594","160","851","201","0","12","63","62","0","12","102","77","60","43","0","12","60","43"
"1400000US11001003400","Census Tract 34, District of Columbia, District of Columbia","4911","556","1444","420","2992","490","0","12","169","103","6","13","154","151","146","90","0","12","146","90"
"1400000US11001005800","Census Tract 58, District of Columbia, District of Columbia","3395","276","2348","202","334","195","0","12","563","137","0","12","10","17","140","74","11","17","129","71"
"1400000US11001006400","Census Tract 64, District of Columbia, District of Columbia","2569","306","548","168","1950","294","0","12","30","44","0","12","23","26","18","30","0","12","18","30"
"1400000US11001003700","Census Tract 37, District of Columbia, District of Columbia","5461","814","2614","900","2217","622","0","17","218","127","0","17","336","267","76","79","0","17","76","79"
"1400000US11001007407","Census Tract 74.07, District of Columbia, District of Columbia","3164","315","60","39","3104","315","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US11001009203","Census Tract 92.03, District of Columbia, District of Columbia","2998","323","614","160","2081","304","52","57","10","16","0","12","122","107","119","111","24","39","95","77"
"1400000US11001001302","Census Tract 13.02, District of Columbia, District of Columbia","7623","747","5818","725","630","352","0","17","543","233","0","17","387","256","245","165","110","137","135","99"
"1400000US11001007304","Census Tract 73.04, District of Columbia, District of Columbia","3913","570","145","75","3637","609","0","12","0","12","0","12","100","159","31","42","0","12","31","42"
"1400000US11001001100","Census Tract 11, District of Columbia, District of Columbia","5110","308","4242","324","300","157","27","69","270","96","17","29","74","87","180","137","19","31","161","132"
"1400000US11001002802","Census Tract 28.02, District of Columbia, District of Columbia","5172","462","2326","500","1163","291","3","7","354","151","0","17","1122","498","204","152","0","17","204","152"
"1400000US11001004100","Census Tract 41, District of Columbia, District of Columbia","2541","218","1998","209","106","86","8","11","184","79","0","12","147","121","98","51","12","18","86","52"
"1400000US11001009602","Census Tract 96.02, District of Columbia, District of Columbia","3705","570","27","24","3596","581","0","12","11","16","0","12","29","46","42","49","0","12","42","49"
"1400000US11001000201","Census Tract 2.01, District of Columbia, District of Columbia","3817","700","2456","416","353","165","6","14","721","268","0","12","62","56","219","108","8","18","211","109"
"1400000US11001003800","Census Tract 38, District of Columbia, District of Columbia","5140","533","3493","427","920","304","37","56","298","134","23","33","175","210","194","137","0","17","194","137"
"1400000US11001006900","Census Tract 69, District of Columbia, District of Columbia","2582","250","1868","194","440","103","0","12","16","18","0","12","0","12","258","166","0","12","258","166"
