id,Geographic Area Name,"Estimate!!Total!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services","Margin of Error!!Total MOE!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
1400000US11001000100,"Census Tract 1, District of Columbia, District of Columbia",159,87
1400000US11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",202,117
1400000US11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",169,97
1400000US11001000300,"Census Tract 3, District of Columbia, District of Columbia",470,243
1400000US11001000400,"Census Tract 4, District of Columbia, District of Columbia",25,24
1400000US11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",71,49
1400000US11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",159,98
1400000US11001000600,"Census Tract 6, District of Columbia, District of Columbia",118,78
1400000US11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",284,126
1400000US11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",184,105
1400000US11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",248,145
1400000US11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",233,81
1400000US11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",387,107
1400000US11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",75,35
1400000US11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",216,108
1400000US11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",278,146
1400000US11001001100,"Census Tract 11, District of Columbia, District of Columbia",173,96
1400000US11001001200,"Census Tract 12, District of Columbia, District of Columbia",158,127
1400000US11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",89,63
1400000US11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",384,233
1400000US11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",126,64
1400000US11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",159,81
1400000US11001001500,"Census Tract 15, District of Columbia, District of Columbia",144,67
1400000US11001001600,"Census Tract 16, District of Columbia, District of Columbia",175,91
1400000US11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",146,74
1400000US11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",520,209
1400000US11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",418,198
1400000US11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",180,91
1400000US11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",127,83
1400000US11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",351,114
1400000US11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",238,128
1400000US11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",428,237
1400000US11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",258,110
1400000US11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",222,130
1400000US11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",338,154
1400000US11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",271,168
1400000US11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",120,78
1400000US11001002400,"Census Tract 24, District of Columbia, District of Columbia",237,98
1400000US11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",394,145
1400000US11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",633,279
1400000US11001002600,"Census Tract 26, District of Columbia, District of Columbia",44,26
1400000US11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",478,327
1400000US11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",628,216
1400000US11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",479,156
1400000US11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",601,223
1400000US11001002900,"Census Tract 29, District of Columbia, District of Columbia",317,142
1400000US11001003000,"Census Tract 30, District of Columbia, District of Columbia",275,111
1400000US11001003100,"Census Tract 31, District of Columbia, District of Columbia",293,118
1400000US11001003200,"Census Tract 32, District of Columbia, District of Columbia",602,240
1400000US11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",261,126
1400000US11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",136,65
1400000US11001003400,"Census Tract 34, District of Columbia, District of Columbia",370,152
1400000US11001003500,"Census Tract 35, District of Columbia, District of Columbia",223,89
1400000US11001003600,"Census Tract 36, District of Columbia, District of Columbia",298,154
1400000US11001003700,"Census Tract 37, District of Columbia, District of Columbia",639,246
1400000US11001003800,"Census Tract 38, District of Columbia, District of Columbia",347,189
1400000US11001003900,"Census Tract 39, District of Columbia, District of Columbia",252,130
1400000US11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",143,97
1400000US11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",155,90
1400000US11001004100,"Census Tract 41, District of Columbia, District of Columbia",90,61
1400000US11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",111,66
1400000US11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",130,66
1400000US11001004300,"Census Tract 43, District of Columbia, District of Columbia",238,104
1400000US11001004400,"Census Tract 44, District of Columbia, District of Columbia",272,127
1400000US11001004600,"Census Tract 46, District of Columbia, District of Columbia",183,91
1400000US11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",290,196
1400000US11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",190,97
1400000US11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",100,47
1400000US11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",438,208
1400000US11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",424,295
1400000US11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",170,107
1400000US11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",84,55
1400000US11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",492,192
1400000US11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",628,325
1400000US11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",254,123
1400000US11001005500,"Census Tract 55, District of Columbia, District of Columbia",290,182
1400000US11001005600,"Census Tract 56, District of Columbia, District of Columbia",451,241
1400000US11001005800,"Census Tract 58, District of Columbia, District of Columbia",184,79
1400000US11001005900,"Census Tract 59, District of Columbia, District of Columbia",123,60
1400000US11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,12
1400000US11001006400,"Census Tract 64, District of Columbia, District of Columbia",207,155
1400000US11001006500,"Census Tract 65, District of Columbia, District of Columbia",56,40
1400000US11001006600,"Census Tract 66, District of Columbia, District of Columbia",88,62
1400000US11001006700,"Census Tract 67, District of Columbia, District of Columbia",179,91
1400000US11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",49,40
1400000US11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",55,30
1400000US11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",0,12
1400000US11001006900,"Census Tract 69, District of Columbia, District of Columbia",56,44
1400000US11001007000,"Census Tract 70, District of Columbia, District of Columbia",96,45
1400000US11001007100,"Census Tract 71, District of Columbia, District of Columbia",175,78
1400000US11001007200,"Census Tract 72, District of Columbia, District of Columbia",262,114
1400000US11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",26,23
1400000US11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",219,119
1400000US11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",86,49
1400000US11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",168,111
1400000US11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",224,124
1400000US11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",115,86
1400000US11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",143,80
1400000US11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",86,61
1400000US11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",136,95
1400000US11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",180,117
1400000US11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",45,31
1400000US11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",118,66
1400000US11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",205,126
1400000US11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",126,87
1400000US11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",279,145
1400000US11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",190,103
1400000US11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",194,135
1400000US11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",82,66
1400000US11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",112,107
1400000US11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",66,45
1400000US11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",342,146
1400000US11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",120,106
1400000US11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",54,42
1400000US11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",131,61
1400000US11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",140,119
1400000US11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",235,114
1400000US11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",183,72
1400000US11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",92,45
1400000US11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",101,57
1400000US11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",144,63
1400000US11001008100,"Census Tract 81, District of Columbia, District of Columbia",219,102
1400000US11001008200,"Census Tract 82, District of Columbia, District of Columbia",121,68
1400000US11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",28,29
1400000US11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",33,21
1400000US11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",69,47
1400000US11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",56,27
1400000US11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",134,75
1400000US11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",176,77
1400000US11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",353,153
1400000US11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",114,65
1400000US11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",102,98
1400000US11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",281,156
