"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"1400000US11001009902","Census Tract 99.02, District of Columbia, District of Columbia","0.4776","0.1124"
"1400000US11001009904","Census Tract 99.04, District of Columbia, District of Columbia","0.5399","0.0537"
"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia","0.5241","0.0663"
"1400000US11001000801","Census Tract 8.01, District of Columbia, District of Columbia","0.5390","0.0542"
"1400000US11001000802","Census Tract 8.02, District of Columbia, District of Columbia","0.5386","0.0592"
"1400000US11001001001","Census Tract 10.01, District of Columbia, District of Columbia","0.4269","0.0378"
"1400000US11001006202","Census Tract 62.02, District of Columbia, District of Columbia","-","**"
"1400000US11001007804","Census Tract 78.04, District of Columbia, District of Columbia","0.4828","0.0600"
"1400000US11001008001","Census Tract 80.01, District of Columbia, District of Columbia","0.3430","0.0404"
"1400000US11001008301","Census Tract 83.01, District of Columbia, District of Columbia","0.3769","0.0608"
"1400000US11001008803","Census Tract 88.03, District of Columbia, District of Columbia","0.5052","0.0540"
"1400000US11001009301","Census Tract 93.01, District of Columbia, District of Columbia","0.4677","0.0475"
"1400000US11001009504","Census Tract 95.04, District of Columbia, District of Columbia","0.4441","0.0622"
"1400000US11001000501","Census Tract 5.01, District of Columbia, District of Columbia","0.4394","0.0433"
"1400000US11001001301","Census Tract 13.01, District of Columbia, District of Columbia","0.4935","0.0780"
"1400000US11001002102","Census Tract 21.02, District of Columbia, District of Columbia","0.4680","0.0441"
"1400000US11001002202","Census Tract 22.02, District of Columbia, District of Columbia","0.4337","0.0382"
"1400000US11001002302","Census Tract 23.02, District of Columbia, District of Columbia","0.5042","0.0557"
"1400000US11001003400","Census Tract 34, District of Columbia, District of Columbia","0.5283","0.0597"
"1400000US11001005800","Census Tract 58, District of Columbia, District of Columbia","0.4382","0.0473"
"1400000US11001006400","Census Tract 64, District of Columbia, District of Columbia","0.6237","0.0407"
"1400000US11001003700","Census Tract 37, District of Columbia, District of Columbia","0.4671","0.0566"
"1400000US11001007407","Census Tract 74.07, District of Columbia, District of Columbia","0.6360","0.1336"
"1400000US11001009203","Census Tract 92.03, District of Columbia, District of Columbia","0.4620","0.0554"
"1400000US11001001302","Census Tract 13.02, District of Columbia, District of Columbia","0.4778","0.0598"
"1400000US11001007304","Census Tract 73.04, District of Columbia, District of Columbia","0.4890","0.0460"
"1400000US11001001100","Census Tract 11, District of Columbia, District of Columbia","0.5185","0.0483"
"1400000US11001002802","Census Tract 28.02, District of Columbia, District of Columbia","0.5129","0.0513"
"1400000US11001004100","Census Tract 41, District of Columbia, District of Columbia","0.4928","0.0468"
"1400000US11001009602","Census Tract 96.02, District of Columbia, District of Columbia","0.4862","0.0452"
"1400000US11001000201","Census Tract 2.01, District of Columbia, District of Columbia","-","**"
"1400000US11001003800","Census Tract 38, District of Columbia, District of Columbia","0.4844","0.0611"
"1400000US11001006900","Census Tract 69, District of Columbia, District of Columbia","0.3929","0.0509"
"1400000US11001008701","Census Tract 87.01, District of Columbia, District of Columbia","0.4335","0.0632"
"1400000US11001007803","Census Tract 78.03, District of Columbia, District of Columbia","0.5543","0.0739"
"1400000US11001009505","Census Tract 95.05, District of Columbia, District of Columbia","0.4571","0.0491"
"1400000US11001000701","Census Tract 7.01, District of Columbia, District of Columbia","0.5157","0.0484"
"1400000US11001003900","Census Tract 39, District of Columbia, District of Columbia","0.3512","0.0335"
"1400000US11001007809","Census Tract 78.09, District of Columbia, District of Columbia","0.3971","0.0444"
"1400000US11001004701","Census Tract 47.01, District of Columbia, District of Columbia","0.5304","0.0491"
"1400000US11001004702","Census Tract 47.02, District of Columbia, District of Columbia","0.4664","0.0374"
"1400000US11001005001","Census Tract 50.01, District of Columbia, District of Columbia","0.4489","0.0583"
"1400000US11001005002","Census Tract 50.02, District of Columbia, District of Columbia","0.4915","0.0442"
"1400000US11001009810","Census Tract 98.10, District of Columbia, District of Columbia","0.4934","0.0599"
"1400000US11001009811","Census Tract 98.11, District of Columbia, District of Columbia","0.4768","0.0621"
"1400000US11001010100","Census Tract 101, District of Columbia, District of Columbia","0.4920","0.0664"
"1400000US11001010200","Census Tract 102, District of Columbia, District of Columbia","0.3593","0.0450"
"1400000US11001010300","Census Tract 103, District of Columbia, District of Columbia","0.4226","0.0619"
"1400000US11001010400","Census Tract 104, District of Columbia, District of Columbia","0.4836","0.0637"
"1400000US11001010500","Census Tract 105, District of Columbia, District of Columbia","0.4284","0.0446"
"1400000US11001010600","Census Tract 106, District of Columbia, District of Columbia","0.4407","0.0386"
"1400000US11001010700","Census Tract 107, District of Columbia, District of Columbia","0.4780","0.0732"
"1400000US11001010900","Census Tract 109, District of Columbia, District of Columbia","0.4281","0.0416"
"1400000US11001011000","Census Tract 110, District of Columbia, District of Columbia","0.4205","0.0555"
"1400000US11001011100","Census Tract 111, District of Columbia, District of Columbia","0.4779","0.0550"
"1400000US11001010800","Census Tract 108, District of Columbia, District of Columbia","0.5875","0.0500"
"1400000US11001001702","Census Tract 17.02, District of Columbia, District of Columbia","0.4621","0.0539"
"1400000US11001003000","Census Tract 30, District of Columbia, District of Columbia","0.5209","0.0501"
"1400000US11001003301","Census Tract 33.01, District of Columbia, District of Columbia","0.4081","0.0385"
"1400000US11001003600","Census Tract 36, District of Columbia, District of Columbia","0.4707","0.0534"
"1400000US11001004202","Census Tract 42.02, District of Columbia, District of Columbia","0.4924","0.0655"
"1400000US11001000600","Census Tract 6, District of Columbia, District of Columbia","0.4827","0.0599"
"1400000US11001001402","Census Tract 14.02, District of Columbia, District of Columbia","0.5017","0.0511"
