id,Geographic Area Name,Estimate!!Households!!Median income (dollars),Margin of Error!!Households MOE!!Median income (dollars)
1400000US11001000100,"Census Tract 1, District of Columbia, District of Columbia",191146,25411
1400000US11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",-,**
1400000US11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",170987,28290
1400000US11001000300,"Census Tract 3, District of Columbia, District of Columbia",152120,21528
1400000US11001000400,"Census Tract 4, District of Columbia, District of Columbia",126731,38147
1400000US11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",116303,11791
1400000US11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",142750,14125
1400000US11001000600,"Census Tract 6, District of Columbia, District of Columbia",177759,56705
1400000US11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",98750,17309
1400000US11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",69292,6996
1400000US11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",144922,29667
1400000US11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",114091,27335
1400000US11001000901,"Census Tract 9.01, District of Columbia, District of Columbia","250,000+",***
1400000US11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",217708,23746
1400000US11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",179762,16960
1400000US11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",102479,25199
1400000US11001001100,"Census Tract 11, District of Columbia, District of Columbia",147727,28976
1400000US11001001200,"Census Tract 12, District of Columbia, District of Columbia",126250,26905
1400000US11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",127000,21775
1400000US11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",107256,20742
1400000US11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",122419,12859
1400000US11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",113991,16937
1400000US11001001500,"Census Tract 15, District of Columbia, District of Columbia",202431,28874
1400000US11001001600,"Census Tract 16, District of Columbia, District of Columbia",169044,14338
1400000US11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",84924,26936
1400000US11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",52606,17421
1400000US11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",38564,9528
1400000US11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",86927,17041
1400000US11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",84615,15750
1400000US11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",63424,5126
1400000US11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",95469,23648
1400000US11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",62139,12480
1400000US11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",83167,20883
1400000US11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",69643,8180
1400000US11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",63750,17072
1400000US11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",133672,24229
1400000US11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",53750,29295
1400000US11001002400,"Census Tract 24, District of Columbia, District of Columbia",102424,13330
1400000US11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",79000,32545
1400000US11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",75101,11593
1400000US11001002600,"Census Tract 26, District of Columbia, District of Columbia",184750,31198
1400000US11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",74161,12852
1400000US11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",93553,17937
1400000US11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",56310,8484
1400000US11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",73889,18909
1400000US11001002900,"Census Tract 29, District of Columbia, District of Columbia",95052,13253
1400000US11001003000,"Census Tract 30, District of Columbia, District of Columbia",93523,13054
1400000US11001003100,"Census Tract 31, District of Columbia, District of Columbia",109000,18309
1400000US11001003200,"Census Tract 32, District of Columbia, District of Columbia",101012,13185
1400000US11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",123868,13412
1400000US11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",127336,26873
1400000US11001003400,"Census Tract 34, District of Columbia, District of Columbia",91761,11085
1400000US11001003500,"Census Tract 35, District of Columbia, District of Columbia",91638,10675
1400000US11001003600,"Census Tract 36, District of Columbia, District of Columbia",100417,18450
1400000US11001003700,"Census Tract 37, District of Columbia, District of Columbia",74980,17678
1400000US11001003800,"Census Tract 38, District of Columbia, District of Columbia",101627,6737
1400000US11001003900,"Census Tract 39, District of Columbia, District of Columbia",105250,13078
1400000US11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",138804,13534
1400000US11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",117045,15065
1400000US11001004100,"Census Tract 41, District of Columbia, District of Columbia",156486,20027
1400000US11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",123148,25146
1400000US11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",105742,15555
1400000US11001004300,"Census Tract 43, District of Columbia, District of Columbia",97688,34416
1400000US11001004400,"Census Tract 44, District of Columbia, District of Columbia",179932,19532
1400000US11001004600,"Census Tract 46, District of Columbia, District of Columbia",112000,17417
1400000US11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",48851,6677
1400000US11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",107885,4614
1400000US11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",115625,8096
1400000US11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",90000,20961
1400000US11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",116964,19964
1400000US11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",120054,28439
