GEO_ID,NAME,S1501_C02_015E,DP03_0009PE,S1701_C03_001E
id,Geographic Area Name,talent index,Unemployment,poverty
1400000US11001000100,"Census Tract 1, District of Columbia, District of Columbia",89.6,2.4,5.6
1400000US11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",100,5.5,0
1400000US11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",90.5,3.5,16.8
1400000US11001000300,"Census Tract 3, District of Columbia, District of Columbia",91.1,2.6,17.4
1400000US11001000400,"Census Tract 4, District of Columbia, District of Columbia",82,0.7,9.2
1400000US11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",92,2,4.7
1400000US11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",88.6,3.3,3.4
1400000US11001000600,"Census Tract 6, District of Columbia, District of Columbia",88.2,0.9,5.3
1400000US11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",92.7,2.3,13.2
1400000US11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",73.8,7.9,12.6
1400000US11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",86.8,11,13.5
1400000US11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",87.4,2.2,10.4
1400000US11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",85.8,7.3,5.2
1400000US11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",87.7,2.9,2.1
1400000US11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",90.6,1.8,4.7
1400000US11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",83,7.8,20.7
1400000US11001001100,"Census Tract 11, District of Columbia, District of Columbia",87.8,4.1,4.6
1400000US11001001200,"Census Tract 12, District of Columbia, District of Columbia",86.3,2.6,4.3
1400000US11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",89.2,5.4,4.4
1400000US11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",84.9,3.1,10.2
1400000US11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",90.8,4.4,4.8
1400000US11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",75.8,3,6.5
1400000US11001001500,"Census Tract 15, District of Columbia, District of Columbia",87.7,5.5,2.8
1400000US11001001600,"Census Tract 16, District of Columbia, District of Columbia",76.7,3.9,2.6
1400000US11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",67.8,6.3,4.9
1400000US11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",25.8,5.4,22.6
1400000US11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",29.7,6.1,24.2
1400000US11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",51.6,6.8,11.1
1400000US11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",38.7,9.4,9.5
1400000US11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",38,5.2,12.9
1400000US11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",51.6,6.2,9.2
1400000US11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",31.1,4.7,12.1
1400000US11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",52.2,9.9,16.7
1400000US11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",43.2,11.5,7.7
1400000US11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",41.3,7,9.2
1400000US11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",53,8.2,6.5
1400000US11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",53.4,5.2,18.3
1400000US11001002400,"Census Tract 24, District of Columbia, District of Columbia",59.1,3.9,9.1
1400000US11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",31.2,1.8,13.9
1400000US11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",42.4,5.1,14.5
1400000US11001002600,"Census Tract 26, District of Columbia, District of Columbia",88.8,6.6,6.2
1400000US11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",62.7,3,15.6
1400000US11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",68.5,4,11.1
1400000US11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",47.6,6.1,22.9
1400000US11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",56.5,7.9,21.3
1400000US11001002900,"Census Tract 29, District of Columbia, District of Columbia",61.9,3.9,10.6
1400000US11001003000,"Census Tract 30, District of Columbia, District of Columbia",66.2,5.5,22.3
1400000US11001003100,"Census Tract 31, District of Columbia, District of Columbia",58.9,5.9,8.8
1400000US11001003200,"Census Tract 32, District of Columbia, District of Columbia",46.5,11.1,15.4
1400000US11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",78,4.5,6.8
1400000US11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",80.5,3.9,10.6
1400000US11001003400,"Census Tract 34, District of Columbia, District of Columbia",62.7,5.8,16.3
1400000US11001003500,"Census Tract 35, District of Columbia, District of Columbia",61.8,7.6,19.4
1400000US11001003600,"Census Tract 36, District of Columbia, District of Columbia",71.9,2.8,18.9
