"GEO_ID","NAME","B25008_001E","B25008_001M","B25008_002E","B25008_002M","B25008_003E","B25008_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied"
"1400000US11001009902","Census Tract 99.02, District of Columbia, District of Columbia","3046","420","2486","471","560","264"
"1400000US11001009904","Census Tract 99.04, District of Columbia, District of Columbia","2946","411","1092","423","1854","380"
"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia","5147","481","3005","523","2142","487"
"1400000US11001000801","Census Tract 8.01, District of Columbia, District of Columbia","6002","464","4971","582","1031","339"
"1400000US11001000802","Census Tract 8.02, District of Columbia, District of Columbia","3567","318","2302","367","1265","304"
"1400000US11001001001","Census Tract 10.01, District of Columbia, District of Columbia","7532","446","5947","360","1585","431"
"1400000US11001006202","Census Tract 62.02, District of Columbia, District of Columbia","60","89","0","12","60","89"
"1400000US11001007804","Census Tract 78.04, District of Columbia, District of Columbia","3493","625","1615","472","1878","581"
"1400000US11001008001","Census Tract 80.01, District of Columbia, District of Columbia","3248","317","2380","314","868","289"
"1400000US11001008301","Census Tract 83.01, District of Columbia, District of Columbia","2280","307","1141","209","1139","300"
"1400000US11001008803","Census Tract 88.03, District of Columbia, District of Columbia","1544","230","277","131","1267","217"
"1400000US11001009301","Census Tract 93.01, District of Columbia, District of Columbia","3337","326","2554","450","783","303"
"1400000US11001009504","Census Tract 95.04, District of Columbia, District of Columbia","3120","400","2149","388","971","436"
"1400000US11001000501","Census Tract 5.01, District of Columbia, District of Columbia","3507","292","691","213","2816","302"
"1400000US11001001301","Census Tract 13.01, District of Columbia, District of Columbia","4030","443","1652","313","2378","448"
"1400000US11001002102","Census Tract 21.02, District of Columbia, District of Columbia","5199","517","3511","491","1688","403"
"1400000US11001002202","Census Tract 22.02, District of Columbia, District of Columbia","3459","406","1739","267","1720","419"
"1400000US11001002302","Census Tract 23.02, District of Columbia, District of Columbia","1429","190","262","84","1167","214"
"1400000US11001003400","Census Tract 34, District of Columbia, District of Columbia","2776","431","1143","420","1633","372"
"1400000US11001005800","Census Tract 58, District of Columbia, District of Columbia","3228","221","1101","183","2127","267"
"1400000US11001006400","Census Tract 64, District of Columbia, District of Columbia","2569","306","308","117","2261","309"
"1400000US11001003700","Census Tract 37, District of Columbia, District of Columbia","5343","812","923","294","4420","920"
"1400000US11001007407","Census Tract 74.07, District of Columbia, District of Columbia","3164","315","1249","290","1915","355"
"1400000US11001009203","Census Tract 92.03, District of Columbia, District of Columbia","2975","325","1671","437","1304","490"
"1400000US11001001302","Census Tract 13.02, District of Columbia, District of Columbia","7623","747","2479","471","5144","694"
"1400000US11001007304","Census Tract 73.04, District of Columbia, District of Columbia","3666","551","890","308","2776","554"
"1400000US11001001100","Census Tract 11, District of Columbia, District of Columbia","5040","302","3838","380","1202","312"
"1400000US11001002802","Census Tract 28.02, District of Columbia, District of Columbia","5080","466","972","479","4108","604"
"1400000US11001004100","Census Tract 41, District of Columbia, District of Columbia","2529","216","1451","191","1078","204"
"1400000US11001009602","Census Tract 96.02, District of Columbia, District of Columbia","3705","570","264","117","3441","552"
"1400000US11001000201","Census Tract 2.01, District of Columbia, District of Columbia","0","12","0","12","0","12"
"1400000US11001003800","Census Tract 38, District of Columbia, District of Columbia","5070","531","1422","440","3648","636"
"1400000US11001006900","Census Tract 69, District of Columbia, District of Columbia","2569","250","1687","303","882","214"
"1400000US11001008701","Census Tract 87.01, District of Columbia, District of Columbia","2323","341","1312","331","1011","264"
"1400000US11001007803","Census Tract 78.03, District of Columbia, District of Columbia","4184","510","1825","539","2359","483"
"1400000US11001009505","Census Tract 95.05, District of Columbia, District of Columbia","3430","333","2929","393","501","188"
"1400000US11001000701","Census Tract 7.01, District of Columbia, District of Columbia","5868","433","3303","466","2565","435"
"1400000US11001003900","Census Tract 39, District of Columbia, District of Columbia","4524","354","1712","356","2812","419"
"1400000US11001007809","Census Tract 78.09, District of Columbia, District of Columbia","3004","415","1661","365","1343","501"
"1400000US11001004701","Census Tract 47.01, District of Columbia, District of Columbia","4625","484","589","214","4036","572"
"1400000US11001004702","Census Tract 47.02, District of Columbia, District of Columbia","2966","168","449","94","2517","188"
"1400000US11001005001","Census Tract 50.01, District of Columbia, District of Columbia","1930","233","881","215","1049","215"
"1400000US11001005002","Census Tract 50.02, District of Columbia, District of Columbia","5782","612","1243","340","4539","610"
"1400000US11001009810","Census Tract 98.10, District of Columbia, District of Columbia","2867","379","263","170","2604","378"
"1400000US11001009811","Census Tract 98.11, District of Columbia, District of Columbia","4992","613","703","325","4289","617"
"1400000US11001010100","Census Tract 101, District of Columbia, District of Columbia","2801","280","568","154","2233","295"
"1400000US11001010200","Census Tract 102, District of Columbia, District of Columbia","2819","277","1093","175","1726","268"
"1400000US11001010300","Census Tract 103, District of Columbia, District of Columbia","3796","606","1878","479","1918","566"
"1400000US11001010400","Census Tract 104, District of Columbia, District of Columbia","4177","522","1221","363","2956","601"
