"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US06037206010","Census Tract 2060.10, Los Angeles County, California","3943","482"
"1400000US06037127520","Census Tract 1275.20, Los Angeles County, California","4544","368"
"1400000US06037208620","Census Tract 2086.20, Los Angeles County, California","4319","369"
"1400000US06037481201","Census Tract 4812.01, Los Angeles County, California","3651","288"
"1400000US06037216401","Census Tract 2164.01, Los Angeles County, California","3920","454"
"1400000US06037920109","Census Tract 9201.09, Los Angeles County, California","5835","354"
"1400000US06037310702","Census Tract 3107.02, Los Angeles County, California","6852","775"
"1400000US06037300600","Census Tract 3006, Los Angeles County, California","9129","487"
"1400000US06037407301","Census Tract 4073.01, Los Angeles County, California","4941","388"
"1400000US06037702600","Census Tract 7026, Los Angeles County, California","6216","440"
"1400000US06037651101","Census Tract 6511.01, Los Angeles County, California","5229","309"
"1400000US06037502500","Census Tract 5025, Los Angeles County, California","4031","322"
"1400000US06037920116","Census Tract 9201.16, Los Angeles County, California","5289","289"
"1400000US06037532900","Census Tract 5329, Los Angeles County, California","7226","632"
"1400000US06037219800","Census Tract 2198, Los Angeles County, California","2810","244"
"1400000US06037189600","Census Tract 1896, Los Angeles County, California","3787","384"
"1400000US06037117530","Census Tract 1175.30, Los Angeles County, California","6864","457"
"1400000US06037232600","Census Tract 2326, Los Angeles County, California","6339","548"
"1400000US06037400900","Census Tract 4009, Los Angeles County, California","4420","349"
"1400000US06037602402","Census Tract 6024.02, Los Angeles County, California","6234","584"
"1400000US06037920037","Census Tract 9200.37, Los Angeles County, California","8266","908"
"1400000US06037301501","Census Tract 3015.01, Los Angeles County, California","1945","132"
"1400000US06037127603","Census Tract 1276.03, Los Angeles County, California","3154","289"
"1400000US06037400604","Census Tract 4006.04, Los Angeles County, California","3616","397"
"1400000US06037139801","Census Tract 1398.01, Los Angeles County, California","3517","224"
"1400000US06037602002","Census Tract 6020.02, Los Angeles County, California","3012","267"
"1400000US06037651221","Census Tract 6512.21, Los Angeles County, California","3596","260"
"1400000US06037572301","Census Tract 5723.01, Los Angeles County, California","4118","398"
"1400000US06037402706","Census Tract 4027.06, Los Angeles County, California","3973","279"
"1400000US06037550000","Census Tract 5500, Los Angeles County, California","2024","740"
"1400000US06037535400","Census Tract 5354, Los Angeles County, California","3345","298"
"1400000US06037226002","Census Tract 2260.02, Los Angeles County, California","1754","207"
"1400000US06037267700","Census Tract 2677, Los Angeles County, California","3269","263"
"1400000US06037530003","Census Tract 5300.03, Los Angeles County, California","3087","204"
"1400000US06037131400","Census Tract 1314, Los Angeles County, California","6409","490"
"1400000US06037123420","Census Tract 1234.20, Los Angeles County, California","4359","437"
"1400000US06037400204","Census Tract 4002.04, Los Angeles County, California","5856","319"
"1400000US06037404402","Census Tract 4044.02, Los Angeles County, California","4947","538"
"1400000US06037212702","Census Tract 2127.02, Los Angeles County, California","3684","325"
"1400000US06037134424","Census Tract 1344.24, Los Angeles County, California","2844","147"
"1400000US06037530901","Census Tract 5309.01, Los Angeles County, California","3519","368"
"1400000US06037910807","Census Tract 9108.07, Los Angeles County, California","6245","434"
"1400000US06037541200","Census Tract 5412, Los Angeles County, California","6589","459"
"1400000US06037553801","Census Tract 5538.01, Los Angeles County, California","4483","312"
"1400000US06037404503","Census Tract 4045.03, Los Angeles County, California","2721","280"
"1400000US06037297202","Census Tract 2972.02, Los Angeles County, California","3921","355"
"1400000US06037910207","Census Tract 9102.07, Los Angeles County, California","5863","373"
"1400000US06037402406","Census Tract 4024.06, Los Angeles County, California","5207","390"
"1400000US06037910605","Census Tract 9106.05, Los Angeles County, California","4710","469"
"1400000US06037481402","Census Tract 4814.02, Los Angeles County, California","7242","686"
