"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"1400000US06037207400","Census Tract 2074, Los Angeles County, California","-","**"
"1400000US06037262303","Census Tract 2623.03, Los Angeles County, California","250,000+","***"
"1400000US06037262400","Census Tract 2624, Los Angeles County, California","250,000+","***"
"1400000US06037265301","Census Tract 2653.01, Los Angeles County, California","-","**"
"1400000US06037320000","Census Tract 3200, Los Angeles County, California","-","**"
"1400000US06037402404","Census Tract 4024.04, Los Angeles County, California","-","**"
"1400000US06037403200","Census Tract 4032, Los Angeles County, California","-","**"
"1400000US06037504102","Census Tract 5041.02, Los Angeles County, California","-","**"
"1400000US06037551600","Census Tract 5516, Los Angeles County, California","-","**"
"1400000US06037574601","Census Tract 5746.01, Los Angeles County, California","-","**"
"1400000US06037574700","Census Tract 5747, Los Angeles County, California","-","**"
"1400000US06037599100","Census Tract 5991, Los Angeles County, California","-","**"
"1400000US06037701100","Census Tract 7011, Los Angeles County, California","-","**"
"1400000US06037901003","Census Tract 9010.03, Los Angeles County, California","-","**"
"1400000US06037920200","Census Tract 9202, Los Angeles County, California","-","**"
"1400000US06037980001","Census Tract 9800.01, Los Angeles County, California","-","**"
"1400000US06037980002","Census Tract 9800.02, Los Angeles County, California","-","**"
"1400000US06037980003","Census Tract 9800.03, Los Angeles County, California","-","**"
"1400000US06037980004","Census Tract 9800.04, Los Angeles County, California","-","**"
"1400000US06037980005","Census Tract 9800.05, Los Angeles County, California","-","**"
"1400000US06037980006","Census Tract 9800.06, Los Angeles County, California","-","**"
"1400000US06037980007","Census Tract 9800.07, Los Angeles County, California","-","**"
"1400000US06037980008","Census Tract 9800.08, Los Angeles County, California","-","**"
"1400000US06037980009","Census Tract 9800.09, Los Angeles County, California","-","**"
"1400000US06037980010","Census Tract 9800.10, Los Angeles County, California","-","**"
"1400000US06037980013","Census Tract 9800.13, Los Angeles County, California","-","**"
"1400000US06037980014","Census Tract 9800.14, Los Angeles County, California","-","**"
"1400000US06037980018","Census Tract 9800.18, Los Angeles County, California","-","**"
"1400000US06037980020","Census Tract 9800.20, Los Angeles County, California","-","**"
"1400000US06037980021","Census Tract 9800.21, Los Angeles County, California","-","**"
"1400000US06037980022","Census Tract 9800.22, Los Angeles County, California","-","**"
"1400000US06037980023","Census Tract 9800.23, Los Angeles County, California","-","**"
"1400000US06037980025","Census Tract 9800.25, Los Angeles County, California","-","**"
"1400000US06037980026","Census Tract 9800.26, Los Angeles County, California","-","**"
"1400000US06037980028","Census Tract 9800.28, Los Angeles County, California","-","**"
"1400000US06037980030","Census Tract 9800.30, Los Angeles County, California","-","**"
"1400000US06037980033","Census Tract 9800.33, Los Angeles County, California","-","**"
"1400000US06037990100","Census Tract 9901, Los Angeles County, California","-","**"
"1400000US06037990200","Census Tract 9902, Los Angeles County, California","-","**"
"1400000US06037990300","Census Tract 9903, Los Angeles County, California","-","**"
"1400000US06037206010","Census Tract 2060.10, Los Angeles County, California","38734","10946"
"1400000US06037127520","Census Tract 1275.20, Los Angeles County, California","29842","4543"
"1400000US06037208620","Census Tract 2086.20, Los Angeles County, California","39865","5993"
"1400000US06037481201","Census Tract 4812.01, Los Angeles County, California","58036","15176"
"1400000US06037216401","Census Tract 2164.01, Los Angeles County, California","50208","25490"
"1400000US06037920109","Census Tract 9201.09, Los Angeles County, California","110079","7623"
"1400000US06037310702","Census Tract 3107.02, Los Angeles County, California","40871","8556"
"1400000US06037300600","Census Tract 3006, Los Angeles County, California","68080","10297"
"1400000US06037407301","Census Tract 4073.01, Los Angeles County, California","83140","15880"
"1400000US06037702600","Census Tract 7026, Los Angeles County, California","94815","33773"
"1400000US06037651101","Census Tract 6511.01, Los Angeles County, California","96010","8229"
"1400000US06037502500","Census Tract 5025, Los Angeles County, California","48542","16894"
"1400000US06037920116","Census Tract 9201.16, Los Angeles County, California","109625","10415"
"1400000US06037532900","Census Tract 5329, Los Angeles County, California","37866","3147"
"1400000US06037219800","Census Tract 2198, Los Angeles County, California","37933","6586"
