"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"1400000US06037115103","Census Tract 1151.03, Los Angeles County, California","-","**"
"1400000US06037117407","Census Tract 1174.07, Los Angeles County, California","-","**"
"1400000US06037119340","Census Tract 1193.40, Los Angeles County, California","-","**"
"1400000US06037120106","Census Tract 1201.06, Los Angeles County, California","-","**"
"1400000US06037128303","Census Tract 1283.03, Los Angeles County, California","-","**"
"1400000US06037134305","Census Tract 1343.05, Los Angeles County, California","-","**"
"1400000US06037134903","Census Tract 1349.03, Los Angeles County, California","-","**"
"1400000US06037189904","Census Tract 1899.04, Los Angeles County, California","-","**"
"1400000US06037190201","Census Tract 1902.01, Los Angeles County, California","-","**"
"1400000US06037190202","Census Tract 1902.02, Los Angeles County, California","-","**"
"1400000US06037190402","Census Tract 1904.02, Los Angeles County, California","-","**"
"1400000US06037190510","Census Tract 1905.10, Los Angeles County, California","-","**"
"1400000US06037194101","Census Tract 1941.01, Los Angeles County, California","2,000,000+","***"
"1400000US06037194300","Census Tract 1943, Los Angeles County, California","2,000,000+","***"
"1400000US06037205110","Census Tract 2051.10, Los Angeles County, California","-","**"
"1400000US06037206020","Census Tract 2060.20, Los Angeles County, California","-","**"
"1400000US06037206300","Census Tract 2063, Los Angeles County, California","-","**"
"1400000US06037207400","Census Tract 2074, Los Angeles County, California","-","**"
"1400000US06037207502","Census Tract 2075.02, Los Angeles County, California","-","**"
"1400000US06037208000","Census Tract 2080, Los Angeles County, California","-","**"
"1400000US06037208401","Census Tract 2084.01, Los Angeles County, California","-","**"
"1400000US06037208502","Census Tract 2085.02, Los Angeles County, California","-","**"
"1400000US06037208720","Census Tract 2087.20, Los Angeles County, California","-","**"
"1400000US06037208801","Census Tract 2088.01, Los Angeles County, California","-","**"
"1400000US06037208902","Census Tract 2089.02, Los Angeles County, California","-","**"
"1400000US06037208903","Census Tract 2089.03, Los Angeles County, California","-","**"
"1400000US06037208904","Census Tract 2089.04, Los Angeles County, California","-","**"
"1400000US06037209103","Census Tract 2091.03, Los Angeles County, California","-","**"
"1400000US06037209104","Census Tract 2091.04, Los Angeles County, California","-","**"
"1400000US06037209401","Census Tract 2094.01, Los Angeles County, California","-","**"
"1400000US06037209402","Census Tract 2094.02, Los Angeles County, California","-","**"
"1400000US06037209403","Census Tract 2094.03, Los Angeles County, California","-","**"
"1400000US06037209520","Census Tract 2095.20, Los Angeles County, California","-","**"
"1400000US06037211310","Census Tract 2113.10, Los Angeles County, California","-","**"
"1400000US06037211320","Census Tract 2113.20, Los Angeles County, California","-","**"
"1400000US06037211410","Census Tract 2114.10, Los Angeles County, California","-","**"
"1400000US06037211921","Census Tract 2119.21, Los Angeles County, California","-","**"
"1400000US06037211922","Census Tract 2119.22, Los Angeles County, California","-","**"
"1400000US06037212102","Census Tract 2121.02, Los Angeles County, California","-","**"
"1400000US06037212202","Census Tract 2122.02, Los Angeles County, California","-","**"
"1400000US06037212203","Census Tract 2122.03, Los Angeles County, California","-","**"
"1400000US06037212303","Census Tract 2123.03, Los Angeles County, California","-","**"
"1400000US06037212304","Census Tract 2123.04, Los Angeles County, California","-","**"
"1400000US06037212305","Census Tract 2123.05, Los Angeles County, California","-","**"
"1400000US06037213401","Census Tract 2134.01, Los Angeles County, California","-","**"
"1400000US06037214502","Census Tract 2145.02, Los Angeles County, California","-","**"
"1400000US06037214503","Census Tract 2145.03, Los Angeles County, California","-","**"
"1400000US06037215102","Census Tract 2151.02, Los Angeles County, California","-","**"
"1400000US06037221820","Census Tract 2218.20, Los Angeles County, California","-","**"
"1400000US06037222700","Census Tract 2227, Los Angeles County, California","-","**"
"1400000US06037224010","Census Tract 2240.10, Los Angeles County, California","-","**"
"1400000US06037224200","Census Tract 2242, Los Angeles County, California","-","**"
"1400000US06037224310","Census Tract 2243.10, Los Angeles County, California","-","**"
"1400000US06037224320","Census Tract 2243.20, Los Angeles County, California","-","**"
"1400000US06037236202","Census Tract 2362.02, Los Angeles County, California","-","**"
"1400000US06037236203","Census Tract 2362.03, Los Angeles County, California","-","**"
"1400000US06037236204","Census Tract 2362.04, Los Angeles County, California","-","**"
"1400000US06037242100","Census Tract 2421, Los Angeles County, California","-","**"
"1400000US06037261101","Census Tract 2611.01, Los Angeles County, California","2,000,000+","***"
"1400000US06037261102","Census Tract 2611.02, Los Angeles County, California","2,000,000+","***"
"1400000US06037262100","Census Tract 2621, Los Angeles County, California","2,000,000+","***"
"1400000US06037262200","Census Tract 2622, Los Angeles County, California","2,000,000+","***"
"1400000US06037262301","Census Tract 2623.01, Los Angeles County, California","2,000,000+","***"
"1400000US06037262302","Census Tract 2623.02, Los Angeles County, California","2,000,000+","***"
"1400000US06037262303","Census Tract 2623.03, Los Angeles County, California","2,000,000+","***"
"1400000US06037262400","Census Tract 2624, Los Angeles County, California","2,000,000+","***"
"1400000US06037262501","Census Tract 2625.01, Los Angeles County, California","2,000,000+","***"
"1400000US06037262604","Census Tract 2626.04, Los Angeles County, California","2,000,000+","***"
"1400000US06037262706","Census Tract 2627.06, Los Angeles County, California","2,000,000+","***"
"1400000US06037262802","Census Tract 2628.02, Los Angeles County, California","2,000,000+","***"
"1400000US06037264000","Census Tract 2640, Los Angeles County, California","2,000,000+","***"
"1400000US06037265100","Census Tract 2651, Los Angeles County, California","2,000,000+","***"
"1400000US06037265201","Census Tract 2652.01, Los Angeles County, California","2,000,000+","***"
"1400000US06037265301","Census Tract 2653.01, Los Angeles County, California","-","**"
"1400000US06037265304","Census Tract 2653.04, Los Angeles County, California","-","**"
"1400000US06037265305","Census Tract 2653.05, Los Angeles County, California","-","**"
"1400000US06037265420","Census Tract 2654.20, Los Angeles County, California","2,000,000+","***"
"1400000US06037269000","Census Tract 2690, Los Angeles County, California","2,000,000+","***"
"1400000US06037269905","Census Tract 2699.05, Los Angeles County, California","-","**"
"1400000US06037273402","Census Tract 2734.02, Los Angeles County, California","2,000,000+","***"
"1400000US06037277400","Census Tract 2774, Los Angeles County, California","-","**"
"1400000US06037320000","Census Tract 3200, Los Angeles County, California","-","**"
"1400000US06037402404","Census Tract 4024.04, Los Angeles County, California","-","**"
"1400000US06037403200","Census Tract 4032, Los Angeles County, California","-","**"
"1400000US06037433501","Census Tract 4335.01, Los Angeles County, California","10,000-","***"
"1400000US06037464100","Census Tract 4641, Los Angeles County, California","2,000,000+","***"
"1400000US06037504102","Census Tract 5041.02, Los Angeles County, California","-","**"
"1400000US06037551600","Census Tract 5516, Los Angeles County, California","-","**"
"1400000US06037572800","Census Tract 5728, Los Angeles County, California","-","**"
"1400000US06037574601","Census Tract 5746.01, Los Angeles County, California","-","**"
"1400000US06037574700","Census Tract 5747, Los Angeles County, California","-","**"
"1400000US06037575500","Census Tract 5755, Los Angeles County, California","-","**"
"1400000US06037599100","Census Tract 5991, Los Angeles County, California","-","**"
"1400000US06037620301","Census Tract 6203.01, Los Angeles County, California","2,000,000+","***"
"1400000US06037620303","Census Tract 6203.03, Los Angeles County, California","2,000,000+","***"
"1400000US06037620305","Census Tract 6203.05, Los Angeles County, California","2,000,000+","***"
"1400000US06037620901","Census Tract 6209.01, Los Angeles County, California","2,000,000+","***"
"1400000US06037620904","Census Tract 6209.04, Los Angeles County, California","2,000,000+","***"
"1400000US06037621002","Census Tract 6210.02, Los Angeles County, California","2,000,000+","***"
"1400000US06037670326","Census Tract 6703.26, Los Angeles County, California","2,000,000+","***"
"1400000US06037670500","Census Tract 6705, Los Angeles County, California","2,000,000+","***"
"1400000US06037700102","Census Tract 7001.02, Los Angeles County, California","-","**"
"1400000US06037700600","Census Tract 7006, Los Angeles County, California","2,000,000+","***"
