GEO_ID,NAME,S1701_C01_001E,S1701_C01_001M,S1701_C02_001E,S1701_C02_001M,S1701_C03_001E,S1701_C03_001M
id,Geographic Area Name,Estimate!!Total!!Population for whom poverty status is determined,Margin of Error!!Total MOE!!Population for whom poverty status is determined,Estimate!!Below poverty level!!Population for whom poverty status is determined,Margin of Error!!Below poverty level MOE!!Population for whom poverty status is determined,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,Margin of Error!!Percent below poverty level MOE!!Population for whom poverty status is determined
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",4207,478,679,281,16.1,6.4
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",3234,326,109,61,3.4,2
1400000US06037101210,"Census Tract 1012.10, Los Angeles County, California",6042,510,1994,577,33,9
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",3497,336,524,214,15,5.9
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",4250,483,391,301,9.2,6.7
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",3839,285,321,158,8.4,4
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",1771,164,156,101,8.8,5.5
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",3328,391,423,273,12.7,8.3
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",1857,214,322,148,17.3,7.6
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",4215,338,332,236,7.9,5.5
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",2597,259,183,117,7,4.5
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",4446,386,245,119,5.5,2.7
1400000US06037103200,"Census Tract 1032, Los Angeles County, California",6587,567,994,519,15.1,7.7
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",3549,441,173,85,4.9,2.2
1400000US06037103400,"Census Tract 1034, Los Angeles County, California",6617,579,928,510,14,7.7
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",3561,417,274,189,7.7,5.1
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",6190,461,1402,430,22.6,6.9
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",5420,443,856,351,15.8,6.3
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",3926,474,321,249,8.2,6.3
1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",4359,574,1075,413,24.7,8.3
1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",5481,498,1376,534,25.1,9.2
1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",3124,289,486,211,15.6,6.8
1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",5230,613,669,327,12.8,6.3
1400000US06037104320,"Census Tract 1043.20, Los Angeles County, California",5599,619,1331,482,23.8,8.1
1400000US06037104401,"Census Tract 1044.01, Los Angeles County, California",3440,365,683,281,19.9,8
1400000US06037104403,"Census Tract 1044.03, Los Angeles County, California",3264,419,654,282,20,7.9
1400000US06037104404,"Census Tract 1044.04, Los Angeles County, California",3116,257,814,271,26.1,8.3
1400000US06037104500,"Census Tract 1045, Los Angeles County, California",2947,509,682,320,23.1,9.6
1400000US06037104610,"Census Tract 1046.10, Los Angeles County, California",3487,305,588,238,16.9,6.3
1400000US06037104620,"Census Tract 1046.20, Los Angeles County, California",3618,415,337,164,9.3,4.5
1400000US06037104701,"Census Tract 1047.01, Los Angeles County, California",4309,270,1445,306,33.5,6.9
1400000US06037104703,"Census Tract 1047.03, Los Angeles County, California",2311,234,721,288,31.2,11.9
1400000US06037104704,"Census Tract 1047.04, Los Angeles County, California",4331,391,1092,357,25.2,7.7
1400000US06037104810,"Census Tract 1048.10, Los Angeles County, California",5765,547,861,565,14.9,9.5
1400000US06037104821,"Census Tract 1048.21, Los Angeles County, California",3322,285,672,258,20.2,7.6
1400000US06037104822,"Census Tract 1048.22, Los Angeles County, California",2732,383,564,214,20.6,8
1400000US06037106010,"Census Tract 1060.10, Los Angeles County, California",3103,411,527,257,17,7.4
1400000US06037106020,"Census Tract 1060.20, Los Angeles County, California",5790,502,789,398,13.6,6.5
1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",4482,422,343,229,7.7,4.8
1400000US06037106112,"Census Tract 1061.12, Los Angeles County, California",5722,539,394,275,6.9,4.7
1400000US06037106113,"Census Tract 1061.13, Los Angeles County, California",3847,295,190,121,4.9,3.1
1400000US06037106114,"Census Tract 1061.14, Los Angeles County, California",6300,584,1053,496,16.7,7.2
1400000US06037106403,"Census Tract 1064.03, Los Angeles County, California",3405,355,173,137,5.1,4.1
1400000US06037106405,"Census Tract 1064.05, Los Angeles County, California",4785,593,1509,442,31.5,8.8
1400000US06037106406,"Census Tract 1064.06, Los Angeles County, California",5845,513,322,201,5.5,3.6
1400000US06037106407,"Census Tract 1064.07, Los Angeles County, California",3044,295,723,249,23.8,8.3
1400000US06037106408,"Census Tract 1064.08, Los Angeles County, California",3817,340,580,220,15.2,5.8
1400000US06037106510,"Census Tract 1065.10, Los Angeles County, California",4961,457,272,111,5.5,2.2
1400000US06037106520,"Census Tract 1065.20, Los Angeles County, California",5873,448,986,338,16.8,5.3
1400000US06037106603,"Census Tract 1066.03, Los Angeles County, California",3205,222,98,55,3.1,1.7
1400000US06037106604,"Census Tract 1066.04, Los Angeles County, California",5109,733,1379,697,27,12.1
1400000US06037106641,"Census Tract 1066.41, Los Angeles County, California",2352,94,63,40,2.7,1.7
1400000US06037106642,"Census Tract 1066.42, Los Angeles County, California",3009,311,164,127,5.5,4.1
1400000US06037106643,"Census Tract 1066.43, Los Angeles County, California",4599,282,78,62,1.7,1.4
1400000US06037106645,"Census Tract 1066.45, Los Angeles County, California",3491,389,276,136,7.9,4.1
1400000US06037106646,"Census Tract 1066.46, Los Angeles County, California",3346,201,157,101,4.7,3
1400000US06037106648,"Census Tract 1066.48, Los Angeles County, California",4509,290,1013,304,22.5,6.7
1400000US06037106649,"Census Tract 1066.49, Los Angeles County, California",2590,233,257,122,9.9,4.7
1400000US06037107010,"Census Tract 1070.10, Los Angeles County, California",3083,306,453,246,14.7,7.4
1400000US06037107020,"Census Tract 1070.20, Los Angeles County, California",5442,497,351,209,6.4,3.7
1400000US06037108101,"Census Tract 1081.01, Los Angeles County, California",2417,196,182,139,7.5,6
1400000US06037108102,"Census Tract 1081.02, Los Angeles County, California",3670,253,357,175,9.7,4.8
1400000US06037108103,"Census Tract 1081.03, Los Angeles County, California",3153,341,87,79,2.8,2.5
1400000US06037108104,"Census Tract 1081.04, Los Angeles County, California",1922,254,151,121,7.9,6.1
1400000US06037108201,"Census Tract 1082.01, Los Angeles County, California",5501,269,112,117,2,2.1
1400000US06037108202,"Census Tract 1082.02, Los Angeles County, California",7561,459,331,267,4.4,3.5
1400000US06037109100,"Census Tract 1091, Los Angeles County, California",2533,190,117,65,4.6,2.7
1400000US06037109200,"Census Tract 1092, Los Angeles County, California",2995,255,60,51,2,1.7
1400000US06037109300,"Census Tract 1093, Los Angeles County, California",3219,180,210,129,6.5,4
1400000US06037109400,"Census Tract 1094, Los Angeles County, California",3952,581,302,184,7.6,4.9
1400000US06037109500,"Census Tract 1095, Los Angeles County, California",4766,600,1076,487,22.6,10
1400000US06037109601,"Census Tract 1096.01, Los Angeles County, California",4938,399,297,214,6,4.5
1400000US06037109603,"Census Tract 1096.03, Los Angeles County, California",4458,404,921,344,20.7,7.9
1400000US06037109604,"Census Tract 1096.04, Los Angeles County, California",3088,246,216,124,7,4.1
1400000US06037109700,"Census Tract 1097, Los Angeles County, California",4514,498,411,217,9.1,4.4
1400000US06037109800,"Census Tract 1098, Los Angeles County, California",5300,488,644,341,12.2,6
1400000US06037111100,"Census Tract 1111, Los Angeles County, California",3125,200,251,95,8,3
1400000US06037111201,"Census Tract 1112.01, Los Angeles County, California",3440,294,242,137,7,3.9
1400000US06037111202,"Census Tract 1112.02, Los Angeles County, California",5225,560,193,125,3.7,2.4
1400000US06037111204,"Census Tract 1112.04, Los Angeles County, California",6138,306,108,92,1.8,1.5
1400000US06037111205,"Census Tract 1112.05, Los Angeles County, California",4064,353,230,146,5.7,3.5
1400000US06037111206,"Census Tract 1112.06, Los Angeles County, California",4371,296,189,199,4.3,4.6
1400000US06037111301,"Census Tract 1113.01, Los Angeles County, California",7136,831,984,389,13.8,5.5
1400000US06037111302,"Census Tract 1113.02, Los Angeles County, California",5143,339,682,195,13.3,3.8
1400000US06037111400,"Census Tract 1114, Los Angeles County, California",8006,425,1210,494,15.1,5.9
1400000US06037113101,"Census Tract 1131.01, Los Angeles County, California",3696,447,212,114,5.7,3
1400000US06037113102,"Census Tract 1131.02, Los Angeles County, California",2916,194,173,102,5.9,3.4
1400000US06037113211,"Census Tract 1132.11, Los Angeles County, California",3883,229,214,109,5.5,2.8
1400000US06037113212,"Census Tract 1132.12, Los Angeles County, California",3158,189,295,187,9.3,6
1400000US06037113213,"Census Tract 1132.13, Los Angeles County, California",4921,255,223,122,4.5,2.5
1400000US06037113231,"Census Tract 1132.31, Los Angeles County, California",2424,134,80,46,3.3,1.9
1400000US06037113232,"Census Tract 1132.32, Los Angeles County, California",4249,378,189,80,4.4,1.9
1400000US06037113233,"Census Tract 1132.33, Los Angeles County, California",7606,748,1568,610,20.6,7.7
1400000US06037113234,"Census Tract 1132.34, Los Angeles County, California",4797,450,785,401,16.4,7.9
1400000US06037113235,"Census Tract 1132.35, Los Angeles County, California",1834,198,142,99,7.7,5.2
1400000US06037113237,"Census Tract 1132.37, Los Angeles County, California",4063,402,301,154,7.4,3.9
1400000US06037113301,"Census Tract 1133.01, Los Angeles County, California",2927,312,178,117,6.1,4
1400000US06037113303,"Census Tract 1133.03, Los Angeles County, California",4208,233,335,204,8,4.7
1400000US06037113321,"Census Tract 1133.21, Los Angeles County, California",6420,417,685,412,10.7,6.1
1400000US06037113322,"Census Tract 1133.22, Los Angeles County, California",4252,261,224,146,5.3,3.4
1400000US06037113401,"Census Tract 1134.01, Los Angeles County, California",6228,601,719,374,11.5,5.7
1400000US06037113421,"Census Tract 1134.21, Los Angeles County, California",6810,433,987,316,14.5,4.8
1400000US06037113422,"Census Tract 1134.22, Los Angeles County, California",6381,764,536,274,8.4,4.2
1400000US06037115101,"Census Tract 1151.01, Los Angeles County, California",5060,333,241,131,4.8,2.6
1400000US06037115103,"Census Tract 1151.03, Los Angeles County, California",120,88,58,64,48.3,23.3
1400000US06037115104,"Census Tract 1151.04, Los Angeles County, California",4690,383,1311,286,28,5.9
1400000US06037115201,"Census Tract 1152.01, Los Angeles County, California",6870,522,1346,374,19.6,5.3
1400000US06037115202,"Census Tract 1152.02, Los Angeles County, California",5322,406,798,212,15,4
1400000US06037115301,"Census Tract 1153.01, Los Angeles County, California",4535,320,277,104,6.1,2.3
1400000US06037115302,"Census Tract 1153.02, Los Angeles County, California",4132,288,1258,262,30.4,6.3
1400000US06037115401,"Census Tract 1154.01, Los Angeles County, California",6210,471,949,352,15.3,5.6
1400000US06037115403,"Census Tract 1154.03, Los Angeles County, California",3722,252,763,318,20.5,8.3
1400000US06037115404,"Census Tract 1154.04, Los Angeles County, California",2907,274,418,184,14.4,5.9
1400000US06037117101,"Census Tract 1171.01, Los Angeles County, California",5115,519,399,230,7.8,4.7
1400000US06037117102,"Census Tract 1171.02, Los Angeles County, California",2805,255,324,150,11.6,5.2
1400000US06037117201,"Census Tract 1172.01, Los Angeles County, California",4657,380,1124,396,24.1,8.1
1400000US06037117202,"Census Tract 1172.02, Los Angeles County, California",2549,266,111,57,4.4,2.3
1400000US06037117301,"Census Tract 1173.01, Los Angeles County, California",4005,234,178,125,4.4,3.1
1400000US06037117302,"Census Tract 1173.02, Los Angeles County, California",5329,438,590,341,11.1,6.1
1400000US06037117303,"Census Tract 1173.03, Los Angeles County, California",3566,252,348,212,9.8,5.6
1400000US06037117404,"Census Tract 1174.04, Los Angeles County, California",4686,394,752,373,16,7.3
1400000US06037117405,"Census Tract 1174.05, Los Angeles County, California",3709,314,1274,332,34.3,8.1
1400000US06037117407,"Census Tract 1174.07, Los Angeles County, California",4064,292,1642,310,40.4,7.9
1400000US06037117408,"Census Tract 1174.08, Los Angeles County, California",3333,256,1324,295,39.7,8.4
1400000US06037117510,"Census Tract 1175.10, Los Angeles County, California",4322,478,1245,465,28.8,10
1400000US06037117520,"Census Tract 1175.20, Los Angeles County, California",4100,263,1456,348,35.5,7.6
1400000US06037117530,"Census Tract 1175.30, Los Angeles County, California",6836,454,1612,476,23.6,6.6
1400000US06037119001,"Census Tract 1190.01, Los Angeles County, California",4329,375,574,256,13.3,5.7
1400000US06037119002,"Census Tract 1190.02, Los Angeles County, California",7960,592,536,197,6.7,2.4
1400000US06037119201,"Census Tract 1192.01, Los Angeles County, California",4260,310,804,341,18.9,7.8
1400000US06037119202,"Census Tract 1192.02, Los Angeles County, California",4715,426,483,297,10.2,6.1
1400000US06037119310,"Census Tract 1193.10, Los Angeles County, California",3939,319,721,274,18.3,7
1400000US06037119320,"Census Tract 1193.20, Los Angeles County, California",4761,483,1014,343,21.3,7.4
1400000US06037119340,"Census Tract 1193.40, Los Angeles County, California",4032,296,1760,342,43.7,7.3
1400000US06037119341,"Census Tract 1193.41, Los Angeles County, California",2877,201,420,156,14.6,5.5
1400000US06037119342,"Census Tract 1193.42, Los Angeles County, California",3092,240,531,196,17.2,6.6
