GEO_ID,NAME,DP04_0045E,DP04_0045M,DP04_0045PE,DP04_0045PM,DP04_0046E,DP04_0046M,DP04_0046PE,DP04_0046PM,DP04_0047E,DP04_0047M,DP04_0047PE,DP04_0047PM
id,Geographic Area Name,Estimate!!HOUSING TENURE!!Occupied housing units,Margin of Error!!HOUSING TENURE!!Occupied housing units,Percent Estimate!!HOUSING TENURE!!Occupied housing units,Percent Margin of Error!!HOUSING TENURE!!Occupied housing units,Estimate!!HOUSING TENURE!!Occupied housing units!!Owner-occupied,Margin of Error!!HOUSING TENURE!!Occupied housing units!!Owner-occupied,Percent Estimate!!HOUSING TENURE!!Occupied housing units!!Owner-occupied,Percent Margin of Error!!HOUSING TENURE!!Occupied housing units!!Owner-occupied,Estimate!!HOUSING TENURE!!Occupied housing units!!Renter-occupied,Margin of Error!!HOUSING TENURE!!Occupied housing units!!Renter-occupied,Percent Estimate!!HOUSING TENURE!!Occupied housing units!!Renter-occupied,Percent Margin of Error!!HOUSING TENURE!!Occupied housing units!!Renter-occupied
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",1596,88,1596,(X),767,128,48.1,7.4,829,124,51.9,7.4
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",1256,79,1256,(X),1026,119,81.7,7.6,230,95,18.3,7.6
1400000US06037101210,"Census Tract 1012.10, Los Angeles County, California",2321,79,2321,(X),337,115,14.5,5,1984,140,85.5,5
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",1294,54,1294,(X),471,89,36.4,6.6,823,88,63.6,6.6
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",1435,94,1435,(X),1268,113,88.4,4.8,167,69,11.6,4.8
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",1473,95,1473,(X),1049,104,71.2,6.2,424,99,28.8,6.2
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",696,26,696,(X),457,62,65.7,8.8,239,62,34.3,8.8
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",1270,79,1270,(X),895,157,70.5,12.2,375,159,29.5,12.2
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",563,34,563,(X),270,56,48,9.8,293,59,52,9.8
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",1305,58,1305,(X),970,108,74.3,8.3,335,113,25.7,8.3
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",916,47,916,(X),781,65,85.3,5.9,135,55,14.7,5.9
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",1568,86,1568,(X),1233,105,78.6,5.1,335,82,21.4,5.1
1400000US06037103200,"Census Tract 1032, Los Angeles County, California",2274,76,2274,(X),1442,184,63.4,7.3,832,162,36.6,7.3
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",1225,78,1225,(X),1037,113,84.7,7.3,188,90,15.3,7.3
1400000US06037103400,"Census Tract 1034, Los Angeles County, California",2432,109,2432,(X),1515,181,62.3,7,917,177,37.7,7
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",845,42,845,(X),705,64,83.4,7.2,140,63,16.6,7.2
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",1673,57,1673,(X),940,114,56.2,6.6,733,113,43.8,6.6
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",1421,45,1421,(X),613,112,43.1,7.4,808,102,56.9,7.4
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",1260,73,1260,(X),1045,91,82.9,6.3,215,82,17.1,6.3
1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",919,39,919,(X),608,80,66.2,7.9,311,73,33.8,7.9
1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",1145,69,1145,(X),526,96,45.9,8.3,619,106,54.1,8.3
1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",730,40,730,(X),471,53,64.5,6.8,259,54,35.5,6.8
1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",879,46,879,(X),632,78,71.9,8.3,247,75,28.1,8.3
1400000US06037104320,"Census Tract 1043.20, Los Angeles County, California",1326,66,1326,(X),563,157,42.5,12.2,763,174,57.5,12.2
1400000US06037104401,"Census Tract 1044.01, Los Angeles County, California",689,54,689,(X),430,67,62.4,9.2,259,69,37.6,9.2
1400000US06037104403,"Census Tract 1044.03, Los Angeles County, California",665,50,665,(X),454,73,68.3,11.1,211,79,31.7,11.1
1400000US06037104404,"Census Tract 1044.04, Los Angeles County, California",658,40,658,(X),306,57,46.5,8.8,352,64,53.5,8.8
1400000US06037104500,"Census Tract 1045, Los Angeles County, California",610,65,610,(X),457,68,74.9,8.9,153,59,25.1,8.9
1400000US06037104610,"Census Tract 1046.10, Los Angeles County, California",729,43,729,(X),449,55,61.6,7.2,280,58,38.4,7.2
1400000US06037104620,"Census Tract 1046.20, Los Angeles County, California",711,51,711,(X),414,69,58.2,8.9,297,68,41.8,8.9
1400000US06037104701,"Census Tract 1047.01, Los Angeles County, California",949,40,949,(X),220,49,23.2,5.2,729,62,76.8,5.2
1400000US06037104703,"Census Tract 1047.03, Los Angeles County, California",603,44,603,(X),218,59,36.2,9.9,385,71,63.8,9.9
1400000US06037104704,"Census Tract 1047.04, Los Angeles County, California",1183,56,1183,(X),739,114,62.5,9,444,108,37.5,9
1400000US06037104810,"Census Tract 1048.10, Los Angeles County, California",1076,82,1076,(X),779,115,72.4,9.9,297,112,27.6,9.9
1400000US06037104821,"Census Tract 1048.21, Los Angeles County, California",750,49,750,(X),431,71,57.5,8.4,319,65,42.5,8.4
1400000US06037104822,"Census Tract 1048.22, Los Angeles County, California",610,41,610,(X),222,50,36.4,7.8,388,56,63.6,7.8
1400000US06037106010,"Census Tract 1060.10, Los Angeles County, California",945,43,945,(X),690,73,73,7.4,255,72,27,7.4
1400000US06037106020,"Census Tract 1060.20, Los Angeles County, California",1475,35,1475,(X),1215,109,82.4,7.1,260,104,17.6,7.1
1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",1326,76,1326,(X),1168,97,88.1,6.3,158,86,11.9,6.3
1400000US06037106112,"Census Tract 1061.12, Los Angeles County, California",1472,77,1472,(X),1269,111,86.2,6.4,203,96,13.8,6.4
1400000US06037106113,"Census Tract 1061.13, Los Angeles County, California",972,58,972,(X),792,89,81.5,8,180,78,18.5,8
1400000US06037106114,"Census Tract 1061.14, Los Angeles County, California",1592,80,1592,(X),704,93,44.2,5.7,888,107,55.8,5.7
1400000US06037106403,"Census Tract 1064.03, Los Angeles County, California",809,66,809,(X),689,76,85.2,7.2,120,61,14.8,7.2
1400000US06037106405,"Census Tract 1064.05, Los Angeles County, California",1225,48,1225,(X),483,114,39.4,9.2,742,118,60.6,9.2
