GEO_ID,NAME,S2301_C04_001E,S2301_C04_001M
id,Geographic Area Name,Estimate!!Unemployment rate!!Population 16 years and over,Margin of Error!!Unemployment rate MOE!!Population 16 years and over
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",7.7,3.3
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",4.6,2.7
1400000US06037101210,"Census Tract 1012.10, Los Angeles County, California",10.1,5.6
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",7.8,4
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",5.7,2.8
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",7.3,3.4
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",9.2,5.2
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",10.4,6.4
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",8.6,4.5
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",5.9,3.6
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",6.6,4
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",6.6,2.8
1400000US06037103200,"Census Tract 1032, Los Angeles County, California",2.8,3.1
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",3.6,1.8
1400000US06037103400,"Census Tract 1034, Los Angeles County, California",4,2.9
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",1.6,1.7
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",9.6,3.3
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",8.3,3.2
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",5,3.2
1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",6.2,3
1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",8.8,4.5
1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",7.7,3.7
1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",5.2,2.5
1400000US06037104320,"Census Tract 1043.20, Los Angeles County, California",12.7,8.2
1400000US06037104401,"Census Tract 1044.01, Los Angeles County, California",7.7,3.1
1400000US06037104403,"Census Tract 1044.03, Los Angeles County, California",8.5,3.8
1400000US06037104404,"Census Tract 1044.04, Los Angeles County, California",5.5,3.4
1400000US06037104500,"Census Tract 1045, Los Angeles County, California",3.3,2.4
1400000US06037104610,"Census Tract 1046.10, Los Angeles County, California",5.2,2.5
1400000US06037104620,"Census Tract 1046.20, Los Angeles County, California",5.5,2
1400000US06037104701,"Census Tract 1047.01, Los Angeles County, California",12.4,5.2
1400000US06037104703,"Census Tract 1047.03, Los Angeles County, California",7.3,5.7
1400000US06037104704,"Census Tract 1047.04, Los Angeles County, California",5.3,3.2
1400000US06037104810,"Census Tract 1048.10, Los Angeles County, California",4.6,2.6
1400000US06037104821,"Census Tract 1048.21, Los Angeles County, California",8.2,3.2
1400000US06037104822,"Census Tract 1048.22, Los Angeles County, California",5,3
1400000US06037106010,"Census Tract 1060.10, Los Angeles County, California",4.7,2.9
1400000US06037106020,"Census Tract 1060.20, Los Angeles County, California",5.8,2.2
1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",4.8,3.3
1400000US06037106112,"Census Tract 1061.12, Los Angeles County, California",3.8,1.9
1400000US06037106113,"Census Tract 1061.13, Los Angeles County, California",4.1,2.9
1400000US06037106114,"Census Tract 1061.14, Los Angeles County, California",7.4,3
1400000US06037106403,"Census Tract 1064.03, Los Angeles County, California",4.8,2.7
1400000US06037106405,"Census Tract 1064.05, Los Angeles County, California",7.3,4.3
1400000US06037106406,"Census Tract 1064.06, Los Angeles County, California",3.1,2
1400000US06037106407,"Census Tract 1064.07, Los Angeles County, California",5.3,3.2
1400000US06037106408,"Census Tract 1064.08, Los Angeles County, California",5,2.2
1400000US06037106510,"Census Tract 1065.10, Los Angeles County, California",3.6,2.5
1400000US06037106520,"Census Tract 1065.20, Los Angeles County, California",1.5,1.1
1400000US06037106603,"Census Tract 1066.03, Los Angeles County, California",4,2.1
1400000US06037106604,"Census Tract 1066.04, Los Angeles County, California",4,3.3
1400000US06037106641,"Census Tract 1066.41, Los Angeles County, California",4.4,3.1
1400000US06037106642,"Census Tract 1066.42, Los Angeles County, California",8.3,3.8
1400000US06037106643,"Census Tract 1066.43, Los Angeles County, California",6.5,3.1
1400000US06037106645,"Census Tract 1066.45, Los Angeles County, California",8.1,4
1400000US06037106646,"Census Tract 1066.46, Los Angeles County, California",5.8,2.6
1400000US06037106648,"Census Tract 1066.48, Los Angeles County, California",2.2,1.5
1400000US06037106649,"Census Tract 1066.49, Los Angeles County, California",3.5,2.5
1400000US06037107010,"Census Tract 1070.10, Los Angeles County, California",9.4,4.4
1400000US06037107020,"Census Tract 1070.20, Los Angeles County, California",3.9,2.5
1400000US06037108101,"Census Tract 1081.01, Los Angeles County, California",5.1,3.9
1400000US06037108102,"Census Tract 1081.02, Los Angeles County, California",6.6,3.8
1400000US06037108103,"Census Tract 1081.03, Los Angeles County, California",1.3,1.7
1400000US06037108104,"Census Tract 1081.04, Los Angeles County, California",2.3,2.2
1400000US06037108201,"Census Tract 1082.01, Los Angeles County, California",3.9,1.9
1400000US06037108202,"Census Tract 1082.02, Los Angeles County, California",5.5,2.2
1400000US06037109100,"Census Tract 1091, Los Angeles County, California",6.7,4.2
1400000US06037109200,"Census Tract 1092, Los Angeles County, California",3.6,3
1400000US06037109300,"Census Tract 1093, Los Angeles County, California",9.3,3.8
1400000US06037109400,"Census Tract 1094, Los Angeles County, California",3.8,2.6
1400000US06037109500,"Census Tract 1095, Los Angeles County, California",7.1,4
1400000US06037109601,"Census Tract 1096.01, Los Angeles County, California",9.6,3.9
1400000US06037109603,"Census Tract 1096.03, Los Angeles County, California",9.3,4.2
1400000US06037109604,"Census Tract 1096.04, Los Angeles County, California",8.4,3.9
1400000US06037109700,"Census Tract 1097, Los Angeles County, California",9.5,3.6
1400000US06037109800,"Census Tract 1098, Los Angeles County, California",3.7,2.2
1400000US06037111100,"Census Tract 1111, Los Angeles County, California",7.4,2.5
1400000US06037111201,"Census Tract 1112.01, Los Angeles County, California",6.9,4.6
1400000US06037111202,"Census Tract 1112.02, Los Angeles County, California",7.1,3
1400000US06037111204,"Census Tract 1112.04, Los Angeles County, California",4.6,2.1
1400000US06037111205,"Census Tract 1112.05, Los Angeles County, California",6.3,3.2
1400000US06037111206,"Census Tract 1112.06, Los Angeles County, California",5.7,2.6
1400000US06037111301,"Census Tract 1113.01, Los Angeles County, California",3.4,2.2
1400000US06037111302,"Census Tract 1113.02, Los Angeles County, California",8,3.1
1400000US06037111400,"Census Tract 1114, Los Angeles County, California",3.3,2.2
1400000US06037113101,"Census Tract 1131.01, Los Angeles County, California",5.5,3.5
1400000US06037113102,"Census Tract 1131.02, Los Angeles County, California",5.7,2.6
1400000US06037113211,"Census Tract 1132.11, Los Angeles County, California",2.5,1.7
1400000US06037113212,"Census Tract 1132.12, Los Angeles County, California",3,2.3
1400000US06037113213,"Census Tract 1132.13, Los Angeles County, California",2,1.3
1400000US06037113231,"Census Tract 1132.31, Los Angeles County, California",8.8,3.8
1400000US06037113232,"Census Tract 1132.32, Los Angeles County, California",2.2,1.7
1400000US06037113233,"Census Tract 1132.33, Los Angeles County, California",6.9,4.2
1400000US06037113234,"Census Tract 1132.34, Los Angeles County, California",3,2
1400000US06037113235,"Census Tract 1132.35, Los Angeles County, California",5,3.2
1400000US06037113237,"Census Tract 1132.37, Los Angeles County, California",9.4,3.9
1400000US06037113301,"Census Tract 1133.01, Los Angeles County, California",7.3,5.1
1400000US06037113303,"Census Tract 1133.03, Los Angeles County, California",4.2,2.2
1400000US06037113321,"Census Tract 1133.21, Los Angeles County, California",10.8,5.5
1400000US06037113322,"Census Tract 1133.22, Los Angeles County, California",3.5,2.3
1400000US06037113401,"Census Tract 1134.01, Los Angeles County, California",3.6,2.4
1400000US06037113421,"Census Tract 1134.21, Los Angeles County, California",7,2.7
1400000US06037113422,"Census Tract 1134.22, Los Angeles County, California",4.7,2.5
1400000US06037115101,"Census Tract 1151.01, Los Angeles County, California",4,2
1400000US06037115103,"Census Tract 1151.03, Los Angeles County, California",25.1,5.5
1400000US06037115104,"Census Tract 1151.04, Los Angeles County, California",7.8,4.9
1400000US06037115201,"Census Tract 1152.01, Los Angeles County, California",4.8,3.1
1400000US06037115202,"Census Tract 1152.02, Los Angeles County, California",2.4,1.3
1400000US06037115301,"Census Tract 1153.01, Los Angeles County, California",4.5,2.3
1400000US06037115302,"Census Tract 1153.02, Los Angeles County, California",3.8,2
1400000US06037115401,"Census Tract 1154.01, Los Angeles County, California",3.5,2.1
1400000US06037115403,"Census Tract 1154.03, Los Angeles County, California",4.1,2.5
1400000US06037115404,"Census Tract 1154.04, Los Angeles County, California",3.4,2.2
1400000US06037117101,"Census Tract 1171.01, Los Angeles County, California",7.5,3.7
1400000US06037117102,"Census Tract 1171.02, Los Angeles County, California",4.1,2.2
1400000US06037117201,"Census Tract 1172.01, Los Angeles County, California",7.2,3.9
1400000US06037117202,"Census Tract 1172.02, Los Angeles County, California",5,3.4
1400000US06037117301,"Census Tract 1173.01, Los Angeles County, California",7.4,3.3
1400000US06037117302,"Census Tract 1173.02, Los Angeles County, California",6.3,3.4
1400000US06037117303,"Census Tract 1173.03, Los Angeles County, California",5.3,3.1
1400000US06037117404,"Census Tract 1174.04, Los Angeles County, California",9.8,4.3
1400000US06037117405,"Census Tract 1174.05, Los Angeles County, California",7.6,3.1
1400000US06037117407,"Census Tract 1174.07, Los Angeles County, California",7.8,3.3
1400000US06037117408,"Census Tract 1174.08, Los Angeles County, California",12.6,4.1
1400000US06037117510,"Census Tract 1175.10, Los Angeles County, California",4.8,3.2
1400000US06037117520,"Census Tract 1175.20, Los Angeles County, California",11.8,3.3
1400000US06037117530,"Census Tract 1175.30, Los Angeles County, California",9.9,2.7
1400000US06037119001,"Census Tract 1190.01, Los Angeles County, California",5.3,2
1400000US06037119002,"Census Tract 1190.02, Los Angeles County, California",6.4,2.2
1400000US06037119201,"Census Tract 1192.01, Los Angeles County, California",4.3,2.6
1400000US06037119202,"Census Tract 1192.02, Los Angeles County, California",5.2,3.5
1400000US06037119310,"Census Tract 1193.10, Los Angeles County, California",9.3,4.2
1400000US06037119320,"Census Tract 1193.20, Los Angeles County, California",9.3,4.2
1400000US06037119340,"Census Tract 1193.40, Los Angeles County, California",10.7,3.4
1400000US06037119341,"Census Tract 1193.41, Los Angeles County, California",9.2,3.1
1400000US06037119342,"Census Tract 1193.42, Los Angeles County, California",11,3.8
1400000US06037119400,"Census Tract 1194, Los Angeles County, California",7.7,3.7
1400000US06037119700,"Census Tract 1197, Los Angeles County, California",4.4,2.4
1400000US06037119800,"Census Tract 1198, Los Angeles County, California",6.3,3
1400000US06037119900,"Census Tract 1199, Los Angeles County, California",6.8,2.6
1400000US06037120010,"Census Tract 1200.10, Los Angeles County, California",9.1,3.4
1400000US06037120020,"Census Tract 1200.20, Los Angeles County, California",8.8,5.6
1400000US06037120030,"Census Tract 1200.30, Los Angeles County, California",5.7,2.9
1400000US06037120103,"Census Tract 1201.03, Los Angeles County, California",13.7,3.8
1400000US06037120104,"Census Tract 1201.04, Los Angeles County, California",3.6,2.6
1400000US06037120105,"Census Tract 1201.05, Los Angeles County, California",10.4,4.2
1400000US06037120106,"Census Tract 1201.06, Los Angeles County, California",14.1,5.3
1400000US06037120107,"Census Tract 1201.07, Los Angeles County, California",11.6,4.1
1400000US06037120108,"Census Tract 1201.08, Los Angeles County, California",10.4,4
1400000US06037120300,"Census Tract 1203, Los Angeles County, California",7.6,3.1
1400000US06037120400,"Census Tract 1204, Los Angeles County, California",10.3,4.4
1400000US06037121010,"Census Tract 1210.10, Los Angeles County, California",2.7,2.1
1400000US06037121020,"Census Tract 1210.20, Los Angeles County, California",8,3.2
1400000US06037121101,"Census Tract 1211.01, Los Angeles County, California",7.9,3.6
1400000US06037121102,"Census Tract 1211.02, Los Angeles County, California",2.1,1.8
1400000US06037121210,"Census Tract 1212.10, Los Angeles County, California",6.3,3
